"","sire","dam","id","loci","n.loci","LLRdam","LLRsire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs"
"1","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-B10-pH7.bam","CM084276_1_38558507.1, CM084265_1_59221213.1, CM084266_1_66377772.0, CM084272_1_1894340.0, CM084279_1_1064861.1, CM084269_1_15799434.1, CM084279_1_649298.1, CM084267_1_11257252.1, CM084276_1_1856082.1, CM084270_1_46588167.1, CM084266_1_1230901.1, CM084275_1_25396988.0, CM084274_1_4793173.0, CM084266_1_62460034.0, CM084277_1_1858867.0, CM084274_1_4732023.1, CM084267_1_2163704.1, CM084271_1_3819764.1, CM084267_1_2233926.0, CM084268_1_45574.0, CM084277_1_18535852.0, CM084267_1_3748455.1, CM084266_1_68643487.1, CM084274_1_4694558.1, CM084274_1_42859583.0, CM084275_1_36059252.1, CM084274_1_42473136.1, CM084267_1_11257220.1, CM084269_1_15828545.1, CM084279_1_32915259.0","30","-0.42","0.02","0.44","2","2, 4","TRUE"
"2","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J225-pH7.bam","CM084268_1_2717677.1, CM084266_1_68661769.0, CM084279_1_10147347.0, CM084278_1_20701460.0, CM084266_1_50301468.0, CM084268_1_45613.1, CM084268_1_1508049.1, CM084267_1_4505277.1, CM084269_1_4628634.0, CM084273_1_42285391.1, CM084273_1_33585263.1, CM084278_1_14913766.1, CM084276_1_38787722.1, CM084265_1_71899680.0, CM084276_1_38450614.1, CM084269_1_1549393.1, CM084269_1_35627219.0, CM084267_1_2426163.0, CM084264_1_6517635.1, CM084267_1_700114.1, CM084266_1_65401945.1, CM084266_1_58086155.1, CM084269_1_35627100.0, CM084274_1_3688102.0, CM084268_1_298828.1, CM084266_1_57882486.1, CM084275_1_25397320.1, CM084264_1_70355125.1, CM084270_1_46587607.0, CM084264_1_61227544.0","30","-0.05","0.1","0.15","2","2, 4","TRUE"
"3","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J223-pH7.bam","CM084265_1_71925203.1, CM084279_1_1063031.1, CM084264_1_74266357.0, CM084264_1_34301630.1, CM084266_1_69632417.1, CM084264_1_74266371.1, CM084275_1_39776646.0, CM084269_1_1577700.0, CM084265_1_39553350.1, CM084271_1_44069759.1, CM084274_1_4734039.0, CM084268_1_2720906.1, CM084268_1_49721842.1, CM084278_1_22667324.0, CM084270_1_19461856.1, CM084271_1_3821109.0, CM084265_1_73061238.1, CM084270_1_46587591.1, CM084279_1_31409261.1, CM084270_1_42349010.0, CM084277_1_30953045.1, CM084267_1_51366722.0, CM084268_1_1508049.0, CM084278_1_25832327.1, CM084274_1_4863175.0, CM084265_1_70974986.0, CM084279_1_1512885.0, CM084274_1_5120580.1, CM084264_1_70175545.1, CM084276_1_25532347.0","30","0.05","-0.33","0.38","2","2, 4","TRUE"
"4","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B25-pH7.bam","CM084266_1_70181836.0, CM084274_1_42859668.1, CM084267_1_5165711.1, CM084267_1_832159.0, CM084267_1_727876.1, CM084265_1_72368293.0, CM084264_1_65424.1, CM084267_1_5165671.0, CM084265_1_72368258.0, CM084266_1_68519869.1, CM084270_1_47076316.0, CM084267_1_700114.0, CM084265_1_70979980.0, CM084270_1_8242350.0, CM084265_1_72636296.0, CM084266_1_69806294.1, CM084277_1_30629891.1, CM084270_1_19464668.0, CM084272_1_43469487.1, CM084279_1_32640622.1, CM084264_1_69534058.0, CM084267_1_6418351.0, CM084266_1_70396245.0, CM084275_1_36059374.0, CM084275_1_39502406.1, CM084268_1_28855794.1, CM084279_1_32652116.1, CM084269_1_46733079.0, CM084278_1_20625152.0, CM084264_1_70171655.0","30","-0.36","-0.09","0.45","1","2, 4","FALSE"
"5","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-B4-pH7.bam","CM084276_1_20157325.1, CM084266_1_71148884.1, CM084265_1_58487818.0, CM084279_1_32666441.1, CM084275_1_524594.0, CM084271_1_3820382.0, CM084272_1_1891499.1, CM084275_1_25395464.1, CM084265_1_1118730.1, CM084277_1_17835716.0, CM084276_1_1625292.0, CM084275_1_25388559.1, CM084265_1_71926735.1, CM084268_1_50224886.1, CM084275_1_25395480.0, CM084264_1_70173624.1, CM084267_1_9176202.1, CM084278_1_20732798.0, CM084276_1_38539465.0, CM084275_1_39780958.0, CM084271_1_43868189.0, CM084271_1_340905.1, CM084276_1_37352422.1, CM084271_1_26325707.0, CM084268_1_276380.1, CM084267_1_699449.0, CM084278_1_20625152.1, CM084269_1_4625304.1, CM084265_1_72991915.1, CM084276_1_60278.0","30","-0.23","-0.59","0.82","2, 4","2, 4","TRUE"
"6","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084264_1_69287134.1, CM084278_1_16767353.0, CM084269_1_40336193.0, CM084266_1_69315469.1, CM084272_1_33597669.0, CM084264_1_69287336.0, CM084278_1_22667362.0, CM084272_1_18170755.0, CM084264_1_72929492.1, CM084278_1_29698402.1, CM084265_1_70979988.0, CM084268_1_50321855.0, CM084272_1_33503418.0, CM084272_1_33452056.0, CM084265_1_68243992.0, CM084275_1_39774900.0, CM084265_1_14403532.0, CM084272_1_7002400.0, CM084277_1_30168398.0, CM084271_1_37244938.1, CM084268_1_49533758.0, CM084265_1_70977429.1, CM084269_1_1567848.0, CM084276_1_2855915.0, CM084265_1_71828881.1, CM084269_1_46858338.0, CM084266_1_64726670.0, CM084272_1_18188792.1, CM084277_1_30635514.1, CM084266_1_57886153.0","30","-0.09","0.1","0.19","2","2, 4","TRUE"
"7","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-J206-pH7.bam","CM084268_1_28845816.1, CM084274_1_42855653.1, CM084264_1_66439662.0, CM084278_1_5142968.0, CM084279_1_32666444.1, CM084265_1_64196870.1, CM084274_1_4793084.0, CM084267_1_6421243.1, CM084276_1_54402.0, CM084279_1_1063045.1, CM084266_1_69063996.0, CM084279_1_32666409.0, CM084274_1_12659113.0, CM084279_1_1064680.0, CM084271_1_1033797.1, CM084267_1_699277.0, CM084265_1_69916749.0, CM084266_1_23296704.1, CM084264_1_26773648.1, CM084275_1_1304711.1, CM084269_1_39736991.0, CM084264_1_2737867.0, CM084269_1_12905597.0, CM084267_1_2908130.1, CM084279_1_1062150.1, CM084272_1_7002400.1, CM084268_1_3710137.0, CM084271_1_44134607.1, CM084266_1_57882817.0, CM084265_1_73059931.1","30","-0.13","-0.15","0.28","1, 4","2, 4","TRUE"
"8","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-B15-pH7.bam","CM084266_1_71166448.1, CM084269_1_15828546.0, CM084277_1_28144351.1, CM084274_1_34977132.0, CM084277_1_4875961.1, CM084264_1_34301201.1, CM084269_1_15823100.0, CM084275_1_1304704.1, CM084264_1_69870962.0, CM084266_1_69141161.1, CM084270_1_19461856.1, CM084278_1_23541042.0, CM084269_1_12905592.0, CM084272_1_1894347.0, CM084266_1_57884345.1, CM084264_1_69712159.1, CM084276_1_6688311.0, CM084268_1_50216526.0, CM084265_1_24901907.1, CM084265_1_64585926.0, CM084272_1_18553651.1, CM084270_1_42355544.1, CM084268_1_298790.1, CM084265_1_65232929.0, CM084271_1_44086139.0, CM084269_1_43524691.0, CM084277_1_31222635.0, CM084270_1_26884058.1, CM084265_1_24901859.0, CM084275_1_35720341.0","30","0.01","-0.31","0.32","3","2, 4","FALSE"
"9","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B16-pH7.bam","CM084265_1_786811.1, CM084267_1_2908957.1, CM084268_1_50681637.0, CM084276_1_37353147.1, CM084264_1_34301201.0, CM084274_1_4796888.0, CM084265_1_791030.0, CM084264_1_73931025.0, CM084275_1_529178.0, CM084265_1_14403532.1, CM084266_1_65401967.1, CM084266_1_70930072.1, CM084271_1_19934424.0, CM084271_1_3805850.1, CM084268_1_282153.1, CM084264_1_72118697.1, CM084268_1_49721854.1, CM084271_1_26325742.0, CM084265_1_71925452.1, CM084277_1_30953033.1, CM084268_1_18519472.0, CM084267_1_2163704.0, CM084267_1_5161043.1, CM084271_1_43851366.1, CM084264_1_74191573.0, CM084277_1_31027250.1, CM084264_1_70174612.0, CM084265_1_1816564.0, CM084274_1_4795052.1, CM084269_1_15826462.0","30","-0.5","-0.1","0.6","1","2, 4","FALSE"
"10","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J202-pH7.bam","CM084274_1_4694254.1, CM084276_1_1856643.1, CM084264_1_34294652.1, CM084264_1_69748575.1, CM084278_1_23542548.0, CM084272_1_18194019.1, CM084274_1_4793084.1, CM084269_1_45280043.0, CM084278_1_16767343.1, CM084274_1_34977131.0, CM084267_1_11257252.1, CM084269_1_39737147.0, CM084269_1_43525189.0, CM084264_1_70174663.0, CM084278_1_22660266.1, CM084274_1_5046215.1, CM084272_1_43469474.0, CM084272_1_33515314.0, CM084271_1_257113.0, CM084276_1_1852865.0, CM084275_1_120888.0, CM084278_1_17460152.0, CM084276_1_2841296.0, CM084271_1_340894.1, CM084274_1_4694263.1, CM084264_1_73886234.1, CM084278_1_281214.1, CM084278_1_28652016.1, CM084268_1_45628.1, CM084275_1_66842.0","30","0.03","-0.1","0.13","2","2, 4","TRUE"
