"","id","loci","n.loci","dam","LLRdam","sire","LLRsire","absLLRtotal"
"1","adapter_trim.F2-J105-pH8.bam","CM084275_1_35722051.1, CM084265_1_64196884.0, CM084270_1_47077463.0, CM084265_1_60316111.0, CM084268_1_3704024.0, CM084277_1_4875961.0, CM084269_1_1567360.1, CM084269_1_1558041.1, CM084264_1_69712159.0, CM084276_1_37144250.1, CM084266_1_71166412.1, CM084276_1_38775920.1, CM084274_1_4862014.1, CM084266_1_70181836.0, CM084276_1_37352348.0, CM084266_1_57884809.0, CM084269_1_1556138.1, CM084279_1_32644179.0, CM084268_1_49719742.0, CM084267_1_700114.0, CM084274_1_4778609.1, CM084277_1_31296163.1, CM084271_1_43851333.1, CM084278_1_20732798.1, CM084274_1_7449618.0, CM084274_1_4726638.0, CM084267_1_2081906.1, CM084269_1_39737155.0, CM084274_1_4671994.0, CM084265_1_68074259.0",30,"adapter_trim.F1-B25-pH8.bam",-0.34,"adapter_trim.F1-B3-pH8.bam",-0.27,0.61
"2","adapter_trim.F2-J122-pH8.bam","CM084275_1_35722051.1, CM084265_1_64196884.0, CM084270_1_47077463.0, CM084265_1_60316111.0, CM084268_1_3704024.0, CM084277_1_4875961.0, CM084269_1_1567360.1, CM084269_1_1558041.1, CM084264_1_69712159.0, CM084276_1_37144250.1, CM084266_1_71166412.1, CM084276_1_38775920.1, CM084274_1_4862014.1, CM084266_1_70181836.0, CM084276_1_37352348.0, CM084266_1_57884809.0, CM084269_1_1556138.1, CM084279_1_32644179.0, CM084268_1_49719742.0, CM084267_1_700114.0, CM084274_1_4778609.1, CM084277_1_31296163.1, CM084271_1_43851333.1, CM084278_1_20732798.1, CM084274_1_7449618.0, CM084274_1_4726638.0, CM084267_1_2081906.1, CM084269_1_39737155.0, CM084274_1_4671994.0, CM084265_1_68074259.0",30,"adapter_trim.F1-B8-pH8.bam",-0.91,"adapter_trim.F1-B10-pH8.bam",-0.34,1.25
"3","adapter_trim.F2-B12-pH8.bam","CM084273_1_31863691.1, CM084276_1_1852865.0, CM084272_1_18191744.0, CM084279_1_33759502.1, CM084267_1_6421632.1, CM084266_1_23295949.0, CM084264_1_64874049.0, CM084268_1_49721842.1, CM084265_1_64735166.0, CM084279_1_32641182.1, CM084264_1_34300494.1, CM084278_1_31960662.1, CM084276_1_54402.1, CM084266_1_69625511.1, CM084269_1_35627054.0, CM084268_1_276378.0, CM084277_1_30027552.1, CM084274_1_4864445.1, CM084268_1_50679551.0, CM084271_1_43934411.0, CM084268_1_50224889.0, CM084266_1_70400406.1, CM084278_1_23542073.1, CM084274_1_4812118.1, CM084279_1_32650016.0, CM084265_1_46089269.1, CM084272_1_18194019.1, CM084276_1_1625243.0, CM084276_1_12383618.1, CM084274_1_4694551.0",30,"adapter_trim.F1-B21-pH8.bam",-0.24,"adapter_trim.F1-B1-pH8.bam",-0.44,0.68
"4","adapter_trim.F2-J145-pH8.bam","CM084265_1_24898691.0, CM084275_1_35719388.1, CM084278_1_20689091.0, CM084273_1_31862179.0, CM084267_1_51000190.0, CM084266_1_69625503.0, CM084275_1_36059374.1, CM084269_1_45438470.1, CM084276_1_11705154.1, CM084278_1_20732810.0, CM084276_1_7202888.1, CM084269_1_43524375.1, CM084271_1_1034868.1, CM084272_1_1596808.1, CM084265_1_73060663.1, CM084265_1_71265272.1, CM084270_1_19464668.0, CM084276_1_1852865.0, CM084268_1_82245.0, CM084270_1_8242350.1, CM084267_1_699428.0, CM084266_1_69794604.0, CM084270_1_47103324.1, CM084278_1_20689098.0, CM084267_1_48167385.0, CM084274_1_4862014.0, CM084271_1_337313.1, CM084270_1_21846007.0, CM084268_1_276461.0, CM084267_1_8118540.1",30,"adapter_trim.F1-B15-pH8.bam",-0.09,"adapter_trim.F1-B4-pH8.bam",-0.06,0.15
"5","adapter_trim.F2-J105-pH8.bam","CM084274_1_4674050.1, CM084272_1_7002400.1, CM084274_1_4694916.1, CM084277_1_30026693.1, CM084264_1_2740173.1, CM084274_1_4686932.0, CM084275_1_1304711.0, CM084266_1_70400406.1, CM084273_1_31862642.1, CM084277_1_30642880.0, CM084278_1_23541775.1, CM084270_1_39396029.0, CM084276_1_38775909.1, CM084276_1_1856654.1, CM084272_1_18191742.0, CM084276_1_38775924.0, CM084265_1_70798125.1, CM084277_1_18535878.1, CM084266_1_69806293.1, CM084274_1_4773492.0, CM084275_1_667184.1, CM084269_1_4625304.0, CM084274_1_42855653.0, CM084264_1_74273479.1, CM084265_1_59221229.1, CM084273_1_42253181.1, CM084264_1_5215232.1, CM084279_1_10153273.1, CM084272_1_18188792.1, CM084269_1_45420483.1",30,"adapter_trim.F1-B25-pH8.bam",-0.18,"adapter_trim.F1-B9-pH8.bam",-0.29,0.47
"6","adapter_trim.F2-J107-pH8.bam","CM084274_1_4674050.1, CM084272_1_7002400.1, CM084274_1_4694916.1, CM084277_1_30026693.1, CM084264_1_2740173.1, CM084274_1_4686932.0, CM084275_1_1304711.0, CM084266_1_70400406.1, CM084273_1_31862642.1, CM084277_1_30642880.0, CM084278_1_23541775.1, CM084270_1_39396029.0, CM084276_1_38775909.1, CM084276_1_1856654.1, CM084272_1_18191742.0, CM084276_1_38775924.0, CM084265_1_70798125.1, CM084277_1_18535878.1, CM084266_1_69806293.1, CM084274_1_4773492.0, CM084275_1_667184.1, CM084269_1_4625304.0, CM084274_1_42855653.0, CM084264_1_74273479.1, CM084265_1_59221229.1, CM084273_1_42253181.1, CM084264_1_5215232.1, CM084279_1_10153273.1, CM084272_1_18188792.1, CM084269_1_45420483.1",30,"adapter_trim.F1-B15-pH8.bam",-0.16,"adapter_trim.F1-B5-pH8.bam",-0.32,0.48
"7","adapter_trim.F2-J143-pH8.bam","CM084274_1_4674050.1, CM084272_1_7002400.1, CM084274_1_4694916.1, CM084277_1_30026693.1, CM084264_1_2740173.1, CM084274_1_4686932.0, CM084275_1_1304711.0, CM084266_1_70400406.1, CM084273_1_31862642.1, CM084277_1_30642880.0, CM084278_1_23541775.1, CM084270_1_39396029.0, CM084276_1_38775909.1, CM084276_1_1856654.1, CM084272_1_18191742.0, CM084276_1_38775924.0, CM084265_1_70798125.1, CM084277_1_18535878.1, CM084266_1_69806293.1, CM084274_1_4773492.0, CM084275_1_667184.1, CM084269_1_4625304.0, CM084274_1_42855653.0, CM084264_1_74273479.1, CM084265_1_59221229.1, CM084273_1_42253181.1, CM084264_1_5215232.1, CM084279_1_10153273.1, CM084272_1_18188792.1, CM084269_1_45420483.1",30,"adapter_trim.F1-B25-pH8.bam",-0.25,"adapter_trim.F1-B9-pH8.bam",-0.29,0.54
"8","adapter_trim.F2-J105-pH8.bam","CM084275_1_39502397.0, CM084271_1_43817223.0, CM084276_1_37352348.0, CM084274_1_42855653.0, CM084270_1_8444546.0, CM084271_1_346606.0, CM084264_1_26773648.0, CM084276_1_38072623.0, CM084264_1_69294926.0, CM084266_1_66377784.1, CM084275_1_23083657.0, CM084275_1_4345708.0, CM084266_1_64164374.1, CM084276_1_38558603.0, CM084266_1_65347078.1, CM084275_1_25388529.1, CM084275_1_36059252.1, CM084264_1_73291504.0, CM084279_1_10150670.1, CM084277_1_10628755.0, CM084278_1_20867809.1, CM084268_1_28855770.1, CM084269_1_1558052.0, CM084268_1_4550920.1, CM084272_1_1596808.1, CM084272_1_43331300.1, CM084264_1_34294660.1, CM084266_1_57886823.0, CM084276_1_37916914.0, CM084274_1_4695106.0",30,"adapter_trim.F1-B21-pH8.bam",-0.13,"adapter_trim.F1-B8-pH8.bam",-0.28,0.41
"9","adapter_trim.F2-J108-pH8.bam","CM084275_1_39502397.0, CM084271_1_43817223.0, CM084276_1_37352348.0, CM084274_1_42855653.0, CM084270_1_8444546.0, CM084271_1_346606.0, CM084264_1_26773648.0, CM084276_1_38072623.0, CM084264_1_69294926.0, CM084266_1_66377784.1, CM084275_1_23083657.0, CM084275_1_4345708.0, CM084266_1_64164374.1, CM084276_1_38558603.0, CM084266_1_65347078.1, CM084275_1_25388529.1, CM084275_1_36059252.1, CM084264_1_73291504.0, CM084279_1_10150670.1, CM084277_1_10628755.0, CM084278_1_20867809.1, CM084268_1_28855770.1, CM084269_1_1558052.0, CM084268_1_4550920.1, CM084272_1_1596808.1, CM084272_1_43331300.1, CM084264_1_34294660.1, CM084266_1_57886823.0, CM084276_1_37916914.0, CM084274_1_4695106.0",30,"adapter_trim.F1-B20-pH8.bam",-0.63,"adapter_trim.F1-B5-pH8.bam",-0.45,1.08
"10","adapter_trim.F2-J125-pH8.bam","CM084275_1_39502397.0, CM084271_1_43817223.0, CM084276_1_37352348.0, CM084274_1_42855653.0, CM084270_1_8444546.0, CM084271_1_346606.0, CM084264_1_26773648.0, CM084276_1_38072623.0, CM084264_1_69294926.0, CM084266_1_66377784.1, CM084275_1_23083657.0, CM084275_1_4345708.0, CM084266_1_64164374.1, CM084276_1_38558603.0, CM084266_1_65347078.1, CM084275_1_25388529.1, CM084275_1_36059252.1, CM084264_1_73291504.0, CM084279_1_10150670.1, CM084277_1_10628755.0, CM084278_1_20867809.1, CM084268_1_28855770.1, CM084269_1_1558052.0, CM084268_1_4550920.1, CM084272_1_1596808.1, CM084272_1_43331300.1, CM084264_1_34294660.1, CM084266_1_57886823.0, CM084276_1_37916914.0, CM084274_1_4695106.0",30,"adapter_trim.F1-B21-pH8.bam",-0.58,"adapter_trim.F1-B10-pH8.bam",-0.35,0.93
