"","id","dam","sire","absLLRtotal","Fertilization_pairs","loci"
"1","adapter_trim.F2-J63-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.55,TRUE,"CM084279_1_10151169.1, CM084276_1_4125650.1, CM084265_1_72071366.1, CM084273_1_42287132.0, CM084269_1_4628634.1, CM084278_1_20858390.0, CM084276_1_38072633.0, CM084264_1_75512070.0, CM084264_1_34291216.0, CM084271_1_26325742.0, CM084265_1_64735166.0, CM084279_1_1073112.0, CM084265_1_70979988.1, CM084269_1_1538788.0, CM084279_1_1871842.1, CM084272_1_18194019.0, CM084279_1_1070264.1, CM084266_1_58093839.0, CM084276_1_38970477.1, CM084265_1_72992174.1, CM084265_1_70979994.1, CM084264_1_74989689.1, CM084265_1_73060616.0, CM084277_1_30168102.0, CM084264_1_26773675.0, CM084266_1_38532344.1, CM084278_1_281214.1, CM084264_1_2737868.0, CM084273_1_4090291.0, CM084265_1_71792056.1"
"2","adapter_trim.F2-J24-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.6,FALSE,"CM084264_1_66439628.0, CM084274_1_4868380.1, CM084271_1_274110.0, CM084273_1_32683002.0, CM084265_1_66688742.1, CM084266_1_57886823.1, CM084269_1_12905562.0, CM084275_1_675849.0, CM084266_1_70181797.1, CM084268_1_42010.0, CM084269_1_43525214.1, CM084278_1_20625578.0, CM084279_1_10156951.0, CM084266_1_57882606.0, CM084266_1_63466127.1, CM084265_1_64735440.0, CM084270_1_47077465.1, CM084265_1_69381551.1, CM084277_1_36519423.1, CM084267_1_48167440.0, CM084271_1_3818665.1, CM084275_1_1304748.0, CM084276_1_1625257.1, CM084265_1_64196870.0, CM084266_1_69141161.0, CM084264_1_34300493.1, CM084271_1_289999.1, CM084268_1_2832731.0, CM084272_1_36474231.0, CM084278_1_22664889.1"
"3","adapter_trim.F2-J13-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.32,FALSE,"CM084269_1_43529904.0, CM084279_1_1070313.1, CM084268_1_24030545.1, CM084264_1_70190068.0, CM084266_1_23298342.1, CM084266_1_23321836.1, CM084276_1_38960936.1, CM084266_1_57886153.1, CM084274_1_4861946.1, CM084264_1_72054205.1, CM084264_1_75512070.0, CM084278_1_20591212.1, CM084276_1_4125650.1, CM084274_1_21933150.0, CM084264_1_6956700.0, CM084269_1_46693817.0, CM084270_1_47077465.0, CM084270_1_4921029.0, CM084276_1_37352422.0, CM084267_1_6421475.0, CM084268_1_41971.1, CM084268_1_50681537.1, CM084273_1_31861630.0, CM084277_1_1869733.0, CM084278_1_22667323.0, CM084268_1_42211.0, CM084276_1_2841292.1, CM084271_1_379011.0, CM084264_1_70466179.1, CM084268_1_50693763.0"
"4","adapter_trim.F2-B17-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.17,FALSE,"CM084269_1_43529904.0, CM084279_1_1070313.1, CM084268_1_24030545.1, CM084264_1_70190068.0, CM084266_1_23298342.1, CM084266_1_23321836.1, CM084276_1_38960936.1, CM084266_1_57886153.1, CM084274_1_4861946.1, CM084264_1_72054205.1, CM084264_1_75512070.0, CM084278_1_20591212.1, CM084276_1_4125650.1, CM084274_1_21933150.0, CM084264_1_6956700.0, CM084269_1_46693817.0, CM084270_1_47077465.0, CM084270_1_4921029.0, CM084276_1_37352422.0, CM084267_1_6421475.0, CM084268_1_41971.1, CM084268_1_50681537.1, CM084273_1_31861630.0, CM084277_1_1869733.0, CM084278_1_22667323.0, CM084268_1_42211.0, CM084276_1_2841292.1, CM084271_1_379011.0, CM084264_1_70466179.1, CM084268_1_50693763.0"
"5","adapter_trim.F2-B21-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.04,TRUE,"CM084265_1_64585926.0, CM084276_1_56075.1, CM084276_1_4125650.1, CM084276_1_54402.0, CM084276_1_1500490.0, CM084266_1_69793931.0, CM084265_1_71827811.1, CM084267_1_5881718.0, CM084266_1_69141121.1, CM084264_1_70456944.1, CM084275_1_29098876.1, CM084272_1_18194995.1, CM084266_1_69051064.0, CM084265_1_60316111.0, CM084275_1_39502454.0, CM084279_1_1073128.1, CM084265_1_72368172.0, CM084264_1_69870956.0, CM084270_1_19464591.0, CM084276_1_38787722.0, CM084264_1_70471566.0, CM084265_1_71265272.0, CM084278_1_4074392.0, CM084274_1_4708733.1, CM084266_1_64725838.0, CM084278_1_279354.0, CM084271_1_379057.0, CM084278_1_20867809.0, CM084273_1_31862197.0, CM084265_1_72991915.1"
"6","adapter_trim.F2-J51-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.33,TRUE,"CM084279_1_10151202.1, CM084265_1_64585921.0, CM084267_1_6420929.0, CM084266_1_64725843.1, CM084271_1_44104310.0, CM084278_1_22645215.0, CM084268_1_1508040.0, CM084276_1_38775920.1, CM084265_1_72636285.1, CM084269_1_43523945.0, CM084279_1_10151202.1, CM084274_1_42294261.0, CM084269_1_15813148.0, CM084275_1_39500153.0, CM084272_1_43331300.1, CM084264_1_65945.0, CM084264_1_2740285.1, CM084279_1_16586112.0, CM084269_1_15828545.0, CM084264_1_69902275.1, CM084274_1_4695205.1, CM084264_1_73886234.1, CM084271_1_44105575.0, CM084265_1_64196884.1, CM084271_1_43860417.1, CM084266_1_63195133.1, CM084270_1_46588167.1, CM084267_1_52896140.1, CM084274_1_4694578.1, CM084279_1_32973101.1"
"7","adapter_trim.F2-J50-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.23,FALSE,"CM084275_1_2509498.1, CM084279_1_161074.1, CM084276_1_54402.0, CM084274_1_4863301.1, CM084266_1_70743740.0, CM084276_1_12392697.1, CM084264_1_70175562.0, CM084274_1_4773492.0, CM084266_1_69315458.0, CM084266_1_57882847.0, CM084271_1_43934405.0, CM084265_1_60313980.1, CM084271_1_19655912.1, CM084269_1_47265300.0, CM084264_1_70456944.1, CM084278_1_32252661.1, CM084270_1_9401006.0, CM084278_1_4074395.0, CM084270_1_47076316.0, CM084266_1_64164374.0, CM084268_1_3703420.0, CM084264_1_73311149.1, CM084264_1_66522465.0, CM084271_1_43816629.1, CM084274_1_4720394.0, CM084274_1_4793160.1, CM084269_1_12905562.1, CM084279_1_32662843.0, CM084276_1_38558585.1, CM084278_1_22645215.1"
"8","adapter_trim.F2-J31-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.34,FALSE,"CM084270_1_2585592.1, CM084278_1_20623588.1, CM084278_1_20630020.0, CM084266_1_70706263.0, CM084271_1_3821267.0, CM084264_1_72075482.1, CM084278_1_5144747.0, CM084265_1_70974986.0, CM084275_1_38995359.1, CM084264_1_73931171.0, CM084279_1_31409578.1, CM084269_1_4628639.1, CM084271_1_290137.0, CM084267_1_5881762.0, CM084276_1_4125650.1, CM084266_1_69051080.0, CM084274_1_4726638.0, CM084279_1_1079183.0, CM084264_1_15064482.0, CM084266_1_66483855.1, CM084269_1_4625304.0, CM084264_1_61227529.1, CM084268_1_28845823.1, CM084271_1_43868181.1, CM084276_1_12399731.0, CM084272_1_44059306.0, CM084271_1_218855.1, CM084270_1_39395914.1, CM084275_1_2509950.0, CM084275_1_529178.0"
"9","adapter_trim.F2-J48-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.89,FALSE,"CM084275_1_2509950.1, CM084274_1_4773495.0, CM084275_1_328861.1, CM084272_1_33453804.0, CM084279_1_1196447.1, CM084265_1_64581822.1, CM084265_1_73060663.1, CM084269_1_1567498.0, CM084264_1_70174663.0, CM084276_1_935739.0, CM084271_1_44083919.0, CM084278_1_23555170.1, CM084272_1_1894337.1, CM084272_1_1891463.1, CM084276_1_4238176.1, CM084275_1_1304711.0, CM084276_1_6688311.0, CM084268_1_28845439.1, CM084279_1_32644179.0, CM084275_1_39491731.1, CM084265_1_72368298.0, CM084273_1_32683016.0, CM084277_1_18535878.0, CM084272_1_1144109.1, CM084265_1_71925203.0, CM084272_1_1894338.0, CM084275_1_400262.0, CM084275_1_23083657.1, CM084272_1_33503418.1, CM084272_1_33597658.1"
"10","adapter_trim.F2-B2-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.93,TRUE,"CM084266_1_57889092.0, CM084272_1_1584317.1, CM084272_1_33617974.0, CM084272_1_43331300.1, CM084273_1_31866838.1, CM084273_1_10381194.0, CM084277_1_29780641.1, CM084279_1_32649961.0, CM084279_1_10147284.1, CM084275_1_38995260.0, CM084274_1_6125560.0, CM084272_1_33515314.1, CM084269_1_1541112.1, CM084279_1_649336.1, CM084265_1_50947034.1, CM084267_1_8118654.0, CM084269_1_15799390.1, CM084265_1_71925486.1, CM084271_1_44107457.0, CM084271_1_44090307.0, CM084275_1_120896.1, CM084278_1_20591181.1, CM084272_1_33597692.1, CM084273_1_31863606.1, CM084274_1_4867255.1, CM084268_1_3692649.1, CM084272_1_18194306.0, CM084270_1_972098.0, CM084265_1_64584031.1, CM084265_1_72636291.0"
