"","id","dam","sire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.101.bam","adapter_trim.F0-B10.bam","adapter_trim.F0-B1.bam","-1.44","2, 3, 5","3, 4, 5","TRUE","CM084268_1_46422.0, CM084271_1_43849282.1, CM084274_1_7310951.0, CM084278_1_22667296.1, CM084274_1_43090783.1, CM084275_1_39776486.0, CM084273_1_31862854.1, CM084266_1_68919262.1, CM084275_1_20000990.1, CM084276_1_37353202.0, CM084270_1_4751817.1, CM084264_1_8098032.0, CM084269_1_43525341.1, CM084271_1_379028.1, CM084276_1_1500412.0, CM084269_1_1572335.0, CM084274_1_4869825.1, CM084267_1_2908966.1, CM084275_1_4345059.1, CM084274_1_4769080.1, CM084279_1_32673936.1, CM084279_1_1064676.0, CM084266_1_70706263.1, CM084274_1_4863041.0, CM084264_1_69861955.0, CM084265_1_58531646.0, CM084269_1_41823136.0, CM084265_1_71265328.0, CM084272_1_9069880.1, CM084272_1_18194019.0, CM084274_1_3691349.0, CM084269_1_12905597.0, CM084276_1_1855851.1, CM084271_1_274096.1, CM084269_1_15799434.0, CM084272_1_36474242.0, CM084273_1_268148.0, CM084270_1_4920935.0, CM084266_1_69806378.0, CM084269_1_1541112.1, CM084267_1_9175848.0, CM084277_1_18545080.1, CM084265_1_59221220.0, CM084278_1_23540722.0, CM084264_1_69287134.1, CM084266_1_67097921.1, CM084269_1_4635085.1, CM084270_1_19464672.0, CM084278_1_23540735.0, CM084279_1_10149596.0"
"2","adapter_trim.353.bam","adapter_trim.F0-B16.bam","adapter_trim.F0-B1.bam","-1.04","2, 3, 4, 5","3, 4, 5","TRUE","CM084279_1_10150313.0, CM084264_1_72011613.0, CM084273_1_7826703.0, CM084278_1_22644747.0, CM084269_1_43524558.0, CM084276_1_38552579.1, CM084276_1_1625272.0, CM084271_1_276716.1, CM084270_1_32126089.1, CM084279_1_16586120.1, CM084269_1_39737155.1, CM084272_1_1308683.0, CM084264_1_70174612.0, CM084271_1_19655820.1, CM084265_1_70609247.1, CM084274_1_4720394.1, CM084276_1_37987466.0, CM084275_1_327918.1, CM084264_1_66561935.1, CM084266_1_69806293.0, CM084264_1_70173621.1, CM084276_1_4238176.0, CM084267_1_6421422.1, CM084274_1_4708749.1, CM084278_1_23541775.0, CM084279_1_1062150.0, CM084268_1_1326636.1, CM084265_1_72368298.0, CM084277_1_5804933.1, CM084275_1_35722058.0, CM084266_1_64164372.0, CM084264_1_65408.0, CM084265_1_24901885.1, CM084277_1_30505537.1, CM084268_1_50679570.1, CM084278_1_279479.0, CM084274_1_5566177.1, CM084277_1_30623529.1, CM084271_1_43868189.0, CM084264_1_66525951.1, CM084264_1_66522464.0, CM084271_1_379057.1, CM084264_1_64487839.1, CM084271_1_26325720.1, CM084265_1_72636278.1, CM084264_1_6990394.1, CM084279_1_10147738.0, CM084275_1_39502454.0, CM084265_1_72636291.0, CM084277_1_1868384.1"
"3","adapter_trim.F1-J18-pH8.bam","adapter_trim.F0-B16.bam","adapter_trim.F0-B1.bam","-1.61","2, 3, 4, 5","3, 4, 5","TRUE","CM084279_1_1871842.1, CM084278_1_20695466.0, CM084266_1_66383611.0, CM084270_1_39395913.0, CM084271_1_44066688.0, CM084268_1_24031315.0, CM084272_1_33617991.1, CM084264_1_69287336.0, CM084268_1_1326643.0, CM084279_1_10150672.0, CM084277_1_10417489.0, CM084275_1_29098881.0, CM084268_1_2717677.1, CM084266_1_70706207.0, CM084275_1_39500153.1, CM084270_1_1553326.0, CM084264_1_74035910.1, CM084265_1_19670958.0, CM084278_1_20625578.0, CM084269_1_15820188.1, CM084277_1_1858867.1, CM084271_1_10301908.0, CM084271_1_1052214.1, CM084274_1_21933150.1, CM084264_1_70173624.1, CM084265_1_72990731.1, CM084272_1_18192676.0, CM084264_1_72075479.1, CM084266_1_68659869.1, CM084269_1_43525271.0, CM084278_1_20625578.1, CM084270_1_47077479.0, CM084269_1_43525146.1, CM084266_1_57886490.1, CM084276_1_38558585.0, CM084273_1_31863355.0, CM084269_1_46693817.1, CM084272_1_33597669.0, CM084273_1_31862314.0, CM084268_1_50315.0, CM084264_1_61167131.1, CM084265_1_70974986.0, CM084277_1_30168102.1, CM084275_1_19996655.1, CM084265_1_71794015.1, CM084274_1_4778609.0, CM084265_1_8362532.1, CM084279_1_1073112.0, CM084266_1_69051080.1, CM084278_1_23542073.0"
"4","adapter_trim.F1-J372-pH75.bam","adapter_trim.F0-B26.bam","adapter_trim.F0-B11.bam","-1.18","2, 4, 5","1, 2, 3","TRUE","CM084275_1_120888.0, CM084271_1_7137729.1, CM084277_1_4875899.0, CM084271_1_43860460.0, CM084279_1_32915293.0, CM084274_1_5120654.1, CM084271_1_43817223.1, CM084274_1_4778592.1, CM084279_1_10147315.1, CM084271_1_37237146.1, CM084273_1_32683002.1, CM084272_1_33572878.1, CM084274_1_4734039.0, CM084265_1_64196870.0, CM084265_1_71827765.0, CM084276_1_38787722.1, CM084275_1_35722638.1, CM084275_1_25395462.0, CM084265_1_71792056.1, CM084267_1_13261449.0, CM084279_1_992716.1, CM084265_1_70595162.0, CM084271_1_256611.1, CM084267_1_13261464.1, CM084275_1_23095265.1, CM084278_1_22667297.0, CM084266_1_66483893.0, CM084279_1_649336.1, CM084276_1_2841292.1, CM084265_1_72368204.0, CM084272_1_1596807.0, CM084275_1_25400810.0, CM084279_1_1512885.0, CM084266_1_71317540.0, CM084264_1_70210132.1, CM084267_1_51033717.1, CM084271_1_43817237.1, CM084271_1_44069759.1, CM084266_1_64723799.1, CM084268_1_50323846.1, CM084276_1_37916914.0, CM084276_1_61679.1, CM084266_1_71166435.0, CM084275_1_35722638.1, CM084266_1_58087784.1, CM084267_1_8118540.0, CM084269_1_1577700.0, CM084278_1_20625578.1, CM084276_1_1856654.1, CM084279_1_1060874.1"
"5","adapter_trim.F1-J262-pH75.bam","adapter_trim.F0-B20.bam","adapter_trim.F0-B11.bam","-1.38","2, 4","1, 2, 3","TRUE","CM084279_1_10150670.1, CM084267_1_699277.1, CM084264_1_6517635.0, CM084271_1_44066688.0, CM084272_1_18191742.0, CM084265_1_70595159.0, CM084271_1_43860497.0, CM084266_1_57886490.0, CM084266_1_23298342.1, CM084267_1_699428.1, CM084269_1_40447978.0, CM084279_1_10151201.0, CM084272_1_1894337.0, CM084276_1_38558604.0, CM084265_1_71265301.0, CM084274_1_4709677.1, CM084267_1_5165711.0, CM084269_1_39737155.1, CM084264_1_34294033.1, CM084277_1_30953045.0, CM084274_1_4788661.1, CM084276_1_38558458.1, CM084278_1_25832327.1, CM084264_1_70466152.0, CM084266_1_65347078.0, CM084274_1_4694263.1, CM084265_1_70597838.1, CM084271_1_26325707.0, CM084269_1_1544433.1, CM084269_1_40447978.1, CM084270_1_4751853.0, CM084276_1_1856643.1, CM084272_1_18170845.0, CM084274_1_4694202.0, CM084277_1_29208305.1, CM084265_1_64527973.1, CM084277_1_18546601.1, CM084266_1_70530691.0, CM084264_1_71189798.1, CM084271_1_43547024.1, CM084274_1_4812118.0, CM084274_1_4730203.1, CM084265_1_70800987.0, CM084265_1_14403401.1, CM084264_1_74191504.1, CM084273_1_31866087.0, CM084277_1_29208395.1, CM084279_1_1070763.0, CM084269_1_43525146.1, CM084269_1_47563826.0"
"6","adapter_trim.F1-B9-pH75.bam","adapter_trim.F0-B14.bam","adapter_trim.F0-B11.bam","-1.34","2, 3, 4, 5","1, 2, 3","TRUE","CM084268_1_3704024.1, CM084264_1_34294397.0, CM084265_1_68806414.1, CM084275_1_8878522.1, CM084270_1_47077595.1, CM084266_1_68322200.1, CM084265_1_8362486.1, CM084272_1_26336261.1, CM084265_1_72071366.1, CM084278_1_22667330.0, CM084266_1_58087794.0, CM084271_1_3820313.1, CM084269_1_15813374.1, CM084270_1_9413173.0, CM084264_1_74076720.1, CM084266_1_63167173.1, CM084276_1_38772790.0, CM084265_1_59221301.0, CM084267_1_13261500.1, CM084268_1_50681648.1, CM084268_1_50739258.1, CM084268_1_276461.1, CM084266_1_64164269.1, CM084268_1_46382.0, CM084278_1_23541049.0, CM084274_1_34977131.1, CM084266_1_69315458.0, CM084276_1_1856888.1, CM084274_1_4869791.0, CM084278_1_23536923.0, CM084266_1_65576813.1, CM084272_1_33571757.1, CM084266_1_66485296.0, CM084269_1_43524375.1, CM084269_1_45438470.0, CM084268_1_9292527.1, CM084265_1_64585921.1, CM084274_1_4863936.0, CM084271_1_44066688.1, CM084268_1_50681648.0, CM084264_1_71816897.0, CM084267_1_5165671.0, CM084275_1_35720346.0, CM084264_1_34300372.1, CM084278_1_22654601.0, CM084264_1_70191778.0, CM084279_1_1196450.1, CM084272_1_1308683.1, CM084278_1_5144637.1, CM084266_1_67097920.0"
"7","adapter_trim.F1-J6-pH8.bam","adapter_trim.F0-B16.bam","adapter_trim.F0-B11.bam","-1.56","2, 3, 4, 5","1, 2, 3","TRUE","CM084279_1_31073085.1, CM084268_1_3697725.0, CM084265_1_68869208.0, CM084273_1_4090291.1, CM084265_1_68808152.1, CM084266_1_58915367.1, CM084275_1_4345059.0, CM084264_1_70173621.1, CM084271_1_44075852.1, CM084265_1_71265301.0, CM084278_1_22667320.1, CM084271_1_44190489.0, CM084266_1_46766313.1, CM084266_1_65576820.0, CM084268_1_2720910.1, CM084275_1_35717364.1, CM084267_1_8118540.0, CM084266_1_23295949.1, CM084266_1_57888640.1, CM084264_1_72118711.0, CM084272_1_33616443.1, CM084266_1_68960407.1, CM084277_1_30027539.1, CM084278_1_20635947.1, CM084274_1_4792974.0, CM084278_1_20732784.0, CM084274_1_21933035.0, CM084265_1_59221301.1, CM084271_1_37240198.0, CM084273_1_31861630.0, CM084270_1_46590816.1, CM084270_1_32126102.1, CM084265_1_64196855.1, CM084274_1_4808081.0, CM084271_1_3816215.1, CM084268_1_1326648.1, CM084278_1_20625578.1, CM084265_1_72637027.0, CM084279_1_32640566.0, CM084270_1_9401006.1, CM084271_1_43860422.0, CM084268_1_50693763.0, CM084269_1_45438470.0, CM084264_1_74800272.0, CM084275_1_35722074.1, CM084269_1_12905566.0, CM084279_1_1073112.1, CM084276_1_2874135.0, CM084265_1_66143662.1, CM084274_1_4863343.0"
"8","adapter_trim.55.bam","adapter_trim.F0-B14.bam","adapter_trim.F0-B11.bam","-1.33","2, 3, 4, 5","1, 2, 3","TRUE","CM084274_1_4795482.0, CM084273_1_32698886.1, CM084278_1_29698392.1, CM084264_1_75278300.0, CM084265_1_68786095.0, CM084267_1_2652774.1, CM084266_1_71317540.1, CM084269_1_42862797.0, CM084278_1_23555170.0, CM084273_1_31862042.0, CM084268_1_22932623.1, CM084267_1_50392657.1, CM084279_1_1072351.1, CM084265_1_72071374.1, CM084265_1_70577871.0, CM084268_1_50679570.0, CM084275_1_25395462.1, CM084270_1_39395973.1, CM084276_1_62473.0, CM084271_1_3821125.1, CM084264_1_73931084.1, CM084270_1_47076332.0, CM084268_1_2832736.0, CM084264_1_70190068.1, CM084278_1_22667323.0, CM084264_1_73926180.1, CM084274_1_3692513.1, CM084264_1_8099092.0, CM084278_1_20732805.1, CM084275_1_2509498.0, CM084273_1_32698894.1, CM084268_1_2832736.1, CM084268_1_3699577.0, CM084276_1_1510330.1, CM084269_1_47265300.0, CM084277_1_5804275.1, CM084266_1_63466127.1, CM084272_1_33452056.0, CM084265_1_68806466.0, CM084273_1_268158.1, CM084264_1_8099096.1, CM084267_1_51167077.1, CM084271_1_274033.1, CM084275_1_312849.1, CM084265_1_68798193.0, CM084266_1_69051080.0, CM084271_1_44228071.1, CM084264_1_65422.0, CM084272_1_33617974.1, CM084265_1_68807639.0"
"9","adapter_trim.F1-J164-pH8.bam","adapter_trim.F0-B10.bam","adapter_trim.F0-B11.bam","0.12","2, 3, 5","1, 2, 3","TRUE","CM084275_1_327936.1, CM084265_1_60313980.0, CM084271_1_44075852.0, CM084266_1_50301553.1, CM084264_1_73929737.0, CM084272_1_43331300.0, CM084264_1_72054052.1, CM084270_1_42355544.0, CM084272_1_18188802.0, CM084264_1_72072573.1, CM084271_1_43849246.0, CM084274_1_4864753.1, CM084268_1_2720910.1, CM084275_1_39781020.1, CM084274_1_4788084.1, CM084274_1_41688611.0, CM084265_1_65322091.0, CM084264_1_69875456.0, CM084266_1_23411289.0, CM084279_1_10149611.1, CM084273_1_31862642.0, CM084268_1_3699577.0, CM084265_1_69381534.0, CM084272_1_33589893.0, CM084279_1_32973101.0, CM084279_1_993504.1, CM084264_1_72117199.1, CM084265_1_68798225.0, CM084264_1_2740163.0, CM084265_1_58036225.0, CM084276_1_1856888.0, CM084279_1_32644179.1, CM084270_1_32126724.0, CM084270_1_1391764.1, CM084266_1_57888961.0, CM084274_1_4708223.0, CM084270_1_47077465.0, CM084278_1_23541026.1, CM084278_1_22657588.0, CM084269_1_1549398.1, CM084264_1_8112674.1, CM084266_1_64725837.0, CM084266_1_65993526.0, CM084274_1_4792130.1, CM084265_1_1229890.1, CM084265_1_70609247.0, CM084269_1_41809353.1, CM084277_1_10628711.0, CM084271_1_3805850.0, CM084269_1_41809353.1"
"10","adapter_trim.F1-J114-pH8.bam","adapter_trim.F0-B20.bam","adapter_trim.F0-B11.bam","-1.31","2, 4","1, 2, 3","TRUE","CM084267_1_5881751.0, CM084266_1_70706263.1, CM084272_1_1894337.0, CM084276_1_11709771.1, CM084278_1_24948220.0, CM084276_1_62244.1, CM084271_1_26325707.1, CM084277_1_18546601.1, CM084279_1_929045.0, CM084264_1_48147317.1, CM084264_1_26777912.1, CM084267_1_5165711.0, CM084273_1_32698906.1, CM084274_1_4795052.1, CM084274_1_4792351.0, CM084277_1_10417520.1, CM084275_1_524594.0, CM084279_1_10156977.1, CM084267_1_9175848.0, CM084265_1_976180.0, CM084278_1_23539431.0, CM084265_1_64586070.0, CM084265_1_72091374.1, CM084279_1_1062144.1, CM084275_1_39502463.0, CM084267_1_50994309.0, CM084276_1_4125650.0, CM084275_1_40519747.0, CM084274_1_4863965.0, CM084278_1_4074299.0, CM084279_1_1062150.0, CM084267_1_2910789.0, CM084276_1_38775936.1, CM084274_1_3692509.1, CM084264_1_15064482.1, CM084276_1_37987468.1, CM084266_1_57888640.1, CM084276_1_38943253.1, CM084272_1_18193991.1, CM084274_1_4863917.0, CM084271_1_3820382.0, CM084269_1_15823421.0, CM084276_1_2857930.1, CM084278_1_20600197.0, CM084265_1_64832885.1, CM084275_1_19996655.1, CM084265_1_71265301.1, CM084273_1_31865817.0, CM084269_1_12905592.1, CM084269_1_40336207.1"
