"","id","dam","sire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F1-B3-pH8.bam","adapter_trim.F0-B16.bam","adapter_trim.F0-B1.bam","1.17","2, 3, 4, 5","3, 4, 5","TRUE","CM084276_1_38539465.1, CM084269_1_46858338.0, CM084266_1_57888640.0, CM084272_1_1891499.1, CM084264_1_74989681.1, CM084276_1_38552515.1, CM084274_1_4709636.1, CM084265_1_71265301.1, CM084275_1_1304702.1, CM084266_1_68319456.0, CM084276_1_12383618.0, CM084268_1_938570.0, CM084266_1_69625503.1, CM084272_1_41037487.1, CM084275_1_529192.0, CM084266_1_58087794.0, CM084276_1_62473.1, CM084265_1_71899669.0, CM084275_1_8878521.1, CM084278_1_281214.0, CM084264_1_74035910.1, CM084268_1_28845823.1, CM084266_1_70400231.0, CM084278_1_20600197.1, CM084277_1_1868694.0, CM084274_1_4686930.1, CM084274_1_4694522.1, CM084265_1_73060895.0, CM084272_1_18194995.0, CM084276_1_38558653.1, CM084272_1_1584317.0, CM084275_1_25395465.0, CM084265_1_69381455.1, CM084275_1_25396988.1, CM084278_1_23547493.1, CM084268_1_22932611.0, CM084269_1_42862797.1, CM084277_1_1858860.0, CM084279_1_10149596.0, CM084269_1_45438499.0, CM084272_1_18191744.0, CM084276_1_20157325.0, CM084269_1_1577711.0, CM084264_1_34294397.0, CM084265_1_68806414.1, CM084272_1_9069881.1, CM084273_1_42252916.1, CM084266_1_58087794.1, CM084272_1_18194192.0, CM084265_1_68074592.0"
"2","adapter_trim.F1-J372-pH75.bam","adapter_trim.F0-B14.bam","adapter_trim.F0-B1.bam","1.52","2, 3, 4, 5","3, 4, 5","TRUE","CM084272_1_2073141.0, CM084266_1_69623578.0, CM084266_1_62460055.0, CM084264_1_69275359.1, CM084271_1_44069731.0, CM084275_1_529155.1, CM084264_1_72054055.0, CM084264_1_69861955.1, CM084277_1_30611507.1, CM084279_1_1079183.1, CM084265_1_71265301.1, CM084278_1_8558559.0, CM084265_1_71827765.1, CM084265_1_59221309.0, CM084278_1_28652016.0, CM084276_1_1856932.1, CM084266_1_57885157.0, CM084269_1_15823954.1, CM084265_1_71925452.1, CM084268_1_49719767.1, CM084265_1_69230172.0, CM084279_1_32648014.1, CM084269_1_35627230.0, CM084279_1_10150672.1, CM084276_1_38787722.0, CM084271_1_1052216.1, CM084269_1_40337595.1, CM084276_1_38558690.0, CM084274_1_4792351.1, CM084275_1_39776496.0, CM084266_1_66377784.0, CM084276_1_38285682.1, CM084275_1_35722060.1, CM084279_1_32917233.1, CM084271_1_44090302.0, CM084268_1_50321964.0, CM084266_1_64164380.1, CM084265_1_3130643.0, CM084275_1_39780958.0, CM084265_1_69381455.0, CM084269_1_39736980.0, CM084272_1_18188792.1, CM084268_1_2832731.0, CM084270_1_4751853.0, CM084274_1_7449618.0, CM084268_1_50679570.0, CM084272_1_18191738.0, CM084266_1_63167162.1, CM084265_1_59221301.0, CM084268_1_42089.0"
"3","adapter_trim.F1-J362-pH75.bam","adapter_trim.F0-B20.bam","adapter_trim.F0-B1.bam","1.03","2, 4","3, 4, 5","TRUE","CM084264_1_73931171.0, CM084278_1_22665064.1, CM084274_1_5120654.1, CM084269_1_15827759.1, CM084274_1_4796871.1, CM084270_1_42348998.1, CM084275_1_327918.1, CM084278_1_28652016.1, CM084264_1_34294660.1, CM084268_1_42745.0, CM084265_1_58036225.0, CM084266_1_23321806.0, CM084266_1_69051092.1, CM084269_1_1567396.0, CM084267_1_2652518.1, CM084274_1_7310951.1, CM084271_1_44104310.0, CM084268_1_2832740.0, CM084272_1_36474242.0, CM084267_1_51241061.1, CM084268_1_50219223.0, CM084268_1_298790.1, CM084265_1_790962.1, CM084264_1_70175500.1, CM084272_1_1726223.1, CM084273_1_42253181.1, CM084271_1_43860460.1, CM084266_1_57882780.1, CM084264_1_61227529.0, CM084274_1_4695106.1, CM084264_1_34300494.1, CM084271_1_43860417.1, CM084268_1_28855770.0, CM084279_1_10151202.1, CM084278_1_22657612.1, CM084279_1_32673936.0, CM084274_1_4793445.1, CM084265_1_70801101.0, CM084270_1_42348999.1, CM084267_1_700114.1, CM084266_1_58087794.0, CM084264_1_65422.0, CM084275_1_40706380.1, CM084276_1_25809512.0, CM084274_1_4727151.1, CM084268_1_3695238.1, CM084266_1_57884309.1, CM084278_1_4074392.0, CM084274_1_3692513.0, CM084264_1_74183870.1"
"4","adapter_trim.F1-B17-pH75.bam","adapter_trim.F0-B13.bam","adapter_trim.F0-B1.bam","1.11","1, 2, 4","3, 4, 5","TRUE","CM084275_1_23096151.0, CM084266_1_66377772.0, CM084276_1_38558585.0, CM084265_1_68869208.0, CM084268_1_28855779.0, CM084274_1_4694967.1, CM084267_1_728194.1, CM084265_1_69381455.0, CM084278_1_279354.1, CM084266_1_64723799.1, CM084272_1_18191738.1, CM084269_1_4636404.1, CM084271_1_44083010.0, CM084275_1_23083662.1, CM084266_1_68643487.0, CM084269_1_41819713.1, CM084267_1_8687374.1, CM084279_1_1062144.0, CM084268_1_3691710.1, CM084265_1_65233014.1, CM084267_1_50993981.1, CM084274_1_4730203.1, CM084274_1_4863726.0, CM084276_1_36515301.1, CM084265_1_64581822.1, CM084267_1_2908957.1, CM084265_1_71831409.0, CM084264_1_72118711.0, CM084274_1_4798803.1, CM084265_1_60316158.1, CM084278_1_23541042.1, CM084264_1_70175500.0, CM084266_1_65401945.1, CM084277_1_29782029.0, CM084276_1_20157067.0, CM084279_1_33014997.0, CM084273_1_7839324.1, CM084277_1_31027250.0, CM084277_1_5803906.0, CM084276_1_2841302.1, CM084265_1_64765147.0, CM084275_1_328864.1, CM084270_1_46587592.1, CM084269_1_12905587.0, CM084265_1_66143640.1, CM084266_1_58102684.0, CM084268_1_42024.1, CM084273_1_32698894.1, CM084266_1_68960355.0, CM084267_1_13261525.1"
"5","adapter_trim.F1-J308-pH75.bam","adapter_trim.F0-B16.bam","adapter_trim.F0-B1.bam","1.15","2, 3, 4, 5","3, 4, 5","TRUE","CM084276_1_1847305.1, CM084279_1_1196447.1, CM084266_1_58088040.1, CM084270_1_42355495.1, CM084276_1_25809477.1, CM084265_1_70595159.0, CM084272_1_1891444.0, CM084267_1_9175848.0, CM084265_1_72637027.1, CM084278_1_16773822.0, CM084271_1_290137.1, CM084272_1_1311984.0, CM084274_1_4863861.0, CM084264_1_69863993.1, CM084268_1_45628.0, CM084277_1_30611507.1, CM084267_1_50994193.0, CM084278_1_23541042.0, CM084265_1_72071366.0, CM084266_1_64726584.0, CM084266_1_68322200.0, CM084277_1_29780116.1, CM084269_1_1577748.1, CM084265_1_65322091.1, CM084268_1_46448.1, CM084272_1_33515302.1, CM084275_1_66811.1, CM084276_1_61700.0, CM084266_1_64726584.1, CM084275_1_35719374.0, CM084267_1_51248500.1, CM084275_1_327936.0, CM084274_1_4863917.0, CM084264_1_2737867.0, CM084265_1_58487818.0, CM084266_1_57889053.0, CM084264_1_70173615.0, CM084264_1_73926177.1, CM084278_1_20591181.1, CM084267_1_52591726.0, CM084264_1_72075482.0, CM084274_1_4734019.1, CM084264_1_69863993.0, CM084276_1_38450614.1, CM084275_1_1212337.1, CM084272_1_1308683.1, CM084266_1_65993531.1, CM084269_1_4635071.1, CM084264_1_6956767.1, CM084268_1_14768218.1"
"6","adapter_trim.F1-J261-pH75.bam","adapter_trim.F0-B26.bam","adapter_trim.F0-B1.bam","1.42","2, 4, 5","3, 4, 5","TRUE","CM084266_1_23321803.1, CM084270_1_4920961.1, CM084274_1_4694916.1, CM084276_1_1625257.1, CM084267_1_699449.0, CM084269_1_42862797.0, CM084271_1_43851333.0, CM084265_1_59221309.0, CM084279_1_33759502.0, CM084265_1_72637027.1, CM084275_1_529192.1, CM084271_1_19655964.1, CM084277_1_29780093.0, CM084271_1_39686056.0, CM084279_1_929045.0, CM084268_1_50224889.1, CM084265_1_54591404.1, CM084272_1_43469486.1, CM084269_1_15799434.0, CM084275_1_66834.1, CM084266_1_70707518.1, CM084270_1_46589386.1, CM084279_1_32650016.0, CM084268_1_42745.0, CM084266_1_68320536.1, CM084274_1_4066885.1, CM084275_1_25395465.1, CM084276_1_20157216.0, CM084266_1_69056442.0, CM084268_1_4036222.1, CM084269_1_1526868.1, CM084267_1_2309126.0, CM084265_1_72990731.0, CM084267_1_8118654.0, CM084271_1_3821161.1, CM084274_1_4812118.1, CM084268_1_9292468.1, CM084265_1_64735166.0, CM084265_1_794917.0, CM084274_1_42294261.0, CM084265_1_1062161.0, CM084279_1_31068246.1, CM084274_1_4788623.1, CM084265_1_69381534.0, CM084271_1_379057.1, CM084265_1_54595186.0, CM084267_1_52593775.1, CM084264_1_34300042.1, CM084269_1_45280054.0, CM084276_1_38773525.0"
"7","adapter_trim.F1-J157-pH8.bam","adapter_trim.F0-B14.bam","adapter_trim.F0-B1.bam","1.81","2, 3, 4, 5","3, 4, 5","TRUE","CM084276_1_38970473.1, CM084264_1_2737867.0, CM084272_1_18188624.1, CM084266_1_64002736.1, CM084276_1_1856630.0, CM084276_1_2855917.1, CM084271_1_44105575.0, CM084269_1_35627054.0, CM084274_1_5033051.0, CM084270_1_46590815.1, CM084266_1_71160177.1, CM084276_1_2841302.0, CM084266_1_67912135.1, CM084276_1_38117392.1, CM084275_1_25393416.0, CM084278_1_32252661.0, CM084273_1_31866816.0, CM084266_1_64725843.0, CM084273_1_32698894.0, CM084275_1_39502397.1, CM084276_1_38772790.0, CM084274_1_4708033.0, CM084269_1_43524676.0, CM084269_1_12905592.0, CM084269_1_1556935.0, CM084267_1_52593733.1, CM084268_1_275067.0, CM084265_1_66141850.0, CM084269_1_47255823.0, CM084264_1_8112731.0, CM084273_1_31862179.1, CM084271_1_3819548.1, CM084272_1_1894337.0, CM084275_1_1303251.0, CM084274_1_4864445.1, CM084276_1_11705154.1, CM084279_1_1060874.0, CM084264_1_70471433.1, CM084265_1_60313980.0, CM084274_1_4795468.1, CM084275_1_36059374.0, CM084266_1_57882736.0, CM084265_1_72368258.0, CM084268_1_22932625.1, CM084271_1_44075859.1, CM084279_1_28791311.0, CM084266_1_63195162.1, CM084268_1_22932623.1, CM084271_1_44066688.1, CM084265_1_8362532.1"
"8","adapter_trim.F1-J255-pH75.bam","adapter_trim.F0-B10.bam","adapter_trim.F0-B1.bam","1.18","2, 3, 5","3, 4, 5","TRUE","CM084276_1_38970477.0, CM084274_1_34977105.0, CM084264_1_7131437.1, CM084264_1_26777914.1, CM084267_1_30270830.0, CM084278_1_20625578.1, CM084275_1_39502374.1, CM084266_1_63468235.0, CM084268_1_23612506.1, CM084265_1_60316111.0, CM084274_1_4694263.0, CM084278_1_23536520.0, CM084272_1_1891444.0, CM084276_1_4238124.1, CM084271_1_44075859.0, CM084276_1_38271843.1, CM084274_1_4773492.0, CM084266_1_68319474.0, CM084265_1_66143629.1, CM084279_1_10156950.0, CM084268_1_3695238.1, CM084268_1_49721854.1, CM084279_1_32650016.0, CM084277_1_30611507.1, CM084274_1_4785921.1, CM084275_1_312956.0, CM084274_1_4793173.1, CM084268_1_49720512.1, CM084274_1_4694282.1, CM084266_1_67912135.1, CM084269_1_47255758.0, CM084265_1_790962.1, CM084269_1_43529904.1, CM084266_1_69625511.1, CM084275_1_120896.1, CM084265_1_70980049.1, CM084272_1_33452338.0, CM084264_1_75506833.1, CM084268_1_2832742.1, CM084274_1_3692509.1, CM084273_1_7839417.1, CM084275_1_39394589.0, CM084270_1_19464672.0, CM084264_1_72054047.1, CM084266_1_57882606.0, CM084279_1_32640566.1, CM084275_1_23095265.1, CM084269_1_42862704.0, CM084272_1_33546605.1, CM084265_1_71831401.0"
"9","adapter_trim.F1-J164-pH8.bam","adapter_trim.F0-B16.bam","adapter_trim.F0-B11.bam","1.28","2, 3, 4, 5","1, 2, 3","TRUE","CM084274_1_4863343.0, CM084272_1_1584311.0, CM084265_1_69913596.1, CM084272_1_41037487.0, CM084264_1_74035910.1, CM084267_1_51033717.0, CM084266_1_66483893.0, CM084265_1_70594980.1, CM084277_1_30027057.0, CM084274_1_12659015.1, CM084271_1_3819803.1, CM084264_1_15064138.0, CM084266_1_68910397.0, CM084269_1_15828548.0, CM084264_1_65945.0, CM084271_1_10301897.1, CM084265_1_68806414.1, CM084277_1_30629891.0, CM084276_1_25809361.1, CM084268_1_50792945.1, CM084268_1_3691150.0, CM084267_1_51366722.0, CM084264_1_8098032.0, CM084266_1_67736800.1, CM084274_1_4793445.1, CM084266_1_69623581.0, CM084273_1_32683001.1, CM084278_1_20742383.0, CM084278_1_16767353.1, CM084276_1_1625272.0, CM084275_1_675849.0, CM084277_1_10628425.0, CM084277_1_29208392.0, CM084276_1_38943253.1, CM084278_1_23554760.1, CM084278_1_20625578.1, CM084267_1_4505277.1, CM084269_1_45310979.0, CM084265_1_69924624.0, CM084277_1_10417524.1, CM084272_1_33452045.0, CM084265_1_71926735.1, CM084273_1_32683023.0, CM084275_1_1304748.1, CM084268_1_50693597.1, CM084278_1_277798.1, CM084269_1_1567396.1, CM084274_1_7310951.0, CM084275_1_35720346.0, CM084265_1_68789108.1"
"10","adapter_trim.F1-J112-pH8.bam","adapter_trim.F0-B26.bam","adapter_trim.F0-B11.bam","1.8","2, 4, 5","1, 2, 3","TRUE","CM084265_1_68072879.0, CM084265_1_1062091.1, CM084276_1_2855799.0, CM084265_1_70589360.1, CM084267_1_2652523.0, CM084277_1_5804354.0, CM084266_1_62460085.0, CM084264_1_63760.0, CM084274_1_34977123.0, CM084276_1_38558640.1, CM084271_1_30532473.0, CM084264_1_73931173.1, CM084277_1_28144351.1, CM084275_1_39502463.1, CM084276_1_38072623.1, CM084279_1_10159270.1, CM084268_1_4036222.1, CM084266_1_69085566.0, CM084274_1_4696973.1, CM084272_1_18192676.0, CM084278_1_23541042.1, CM084264_1_2738116.1, CM084277_1_30611561.0, CM084277_1_30953078.1, CM084276_1_38558670.1, CM084271_1_37244938.0, CM084273_1_31863691.0, CM084267_1_2910818.0, CM084264_1_70175500.0, CM084264_1_69303594.0, CM084267_1_9175847.0, CM084276_1_37352422.0, CM084269_1_42862704.1, CM084271_1_287653.0, CM084269_1_43524691.1, CM084266_1_57882606.0, CM084275_1_42592955.0, CM084265_1_69913596.1, CM084266_1_69052082.1, CM084272_1_11675288.1, CM084275_1_36059374.0, CM084269_1_45310961.0, CM084278_1_22657588.1, CM084275_1_39781020.1, CM084271_1_346606.1, CM084271_1_1033788.0, CM084276_1_54402.1, CM084269_1_1572335.0, CM084277_1_31027250.0, CM084272_1_1307854.1"
