"adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.F0-B11.bam","adapter_trim.F0-B13.bam","adapter_trim.55.bam","adapter_trim.F0-B14.bam","adapter_trim.254.bam","adapter_trim.F0-B15.bam","adapter_trim.351.bam","adapter_trim.F0-B16.bam","adapter_trim.F0-B17.bam","adapter_trim.5.bam","adapter_trim.303.bam","adapter_trim.253.bam","adapter_trim.153.bam","adapter_trim.F0-B18.bam","adapter_trim.F0-B2.bam","adapter_trim.F0-B20.bam","adapter_trim.F0-B21.bam","adapter_trim.352.bam","adapter_trim.F0-B22.bam","adapter_trim.201.bam","adapter_trim.F0-B25.bam","adapter_trim.F0-B26.bam","adapter_trim.304.bam","adapter_trim.251.bam","adapter_trim.101.bam","adapter_trim.F0-B27.bam","adapter_trim.F0-B3.bam","adapter_trim.204.bam","adapter_trim.103.bam","adapter_trim.F0-B4.bam","adapter_trim.54.bam","adapter_trim.301.bam","adapter_trim.F0-B5.bam","adapter_trim.F0-B6.bam","adapter_trim.353.bam","adapter_trim.3.bam","adapter_trim.F0-B7.bam","adapter_trim.53.bam","adapter_trim.4.bam","adapter_trim.203.bam","adapter_trim.104.bam","adapter_trim.F0-B9.bam","adapter_trim.155.bam","adapter_trim.154.bam","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B10-pH8.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B11-pH8.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F1-B14-pH75.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B20-pH75.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B3-pH8.bam","adapter_trim.F1-B4-pH75.bam","adapter_trim.F1-B4-pH8.bam","adapter_trim.F1-B5-pH8.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B7-pH8.bam","adapter_trim.F1-B8-pH75.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B9-pH75.bam","adapter_trim.F1-B9-pH8.bam","adapter_trim.F1-J105-pH8.bam","adapter_trim.F1-J106-pH8.bam","adapter_trim.F1-J110-pH8.bam","adapter_trim.F1-J111-pH8.bam","adapter_trim.F1-J112-pH8.bam","adapter_trim.F1-J113-pH8.bam","adapter_trim.F1-J114-pH8.bam","adapter_trim.F1-J13-pH8.bam","adapter_trim.F1-J14-pH8.bam","adapter_trim.F1-J157-pH8.bam","adapter_trim.F1-J158-pH8.bam","adapter_trim.F1-J16-pH8.bam","adapter_trim.F1-J160-pH8.bam","adapter_trim.F1-J161-pH8.bam","adapter_trim.F1-J162-pH8.bam","adapter_trim.F1-J163-pH8.bam","adapter_trim.F1-J164-pH8.bam","adapter_trim.F1-J17-pH8.bam","adapter_trim.F1-J18-pH8.bam","adapter_trim.F1-J205-pH75.bam","adapter_trim.F1-J206-pH75.bam","adapter_trim.F1-J207-pH75.bam","adapter_trim.F1-J209-pH75.bam","adapter_trim.F1-J210-pH75.bam","adapter_trim.F1-J212-pH75.bam","adapter_trim.F1-J255-pH75.bam","adapter_trim.F1-J258-pH75.bam","adapter_trim.F1-J259-pH75.bam","adapter_trim.F1-J261-pH75.bam","adapter_trim.F1-J262-pH75.bam","adapter_trim.F1-J263-pH75.bam","adapter_trim.F1-J264-pH75.bam","adapter_trim.F1-J306-pH75.bam","adapter_trim.F1-J307-pH75.bam","adapter_trim.F1-J308-pH75.bam","adapter_trim.F1-J311-pH75.bam","adapter_trim.F1-J312-pH75.bam","adapter_trim.F1-J313-pH75.bam","adapter_trim.F1-J314-pH75.bam","adapter_trim.F1-J356-pH75.bam","adapter_trim.F1-J361-pH75.bam","adapter_trim.F1-J362-pH75.bam","adapter_trim.F1-J363-pH75.bam","adapter_trim.F1-J364-pH75.bam","adapter_trim.F1-J372-pH75.bam","adapter_trim.F1-J6-pH8.bam","adapter_trim.F1-J65-pH8.bam","adapter_trim.F1-J66-pH8.bam","adapter_trim.F1-J67-pH8.bam","adapter_trim.F1-J68-pH8.bam","adapter_trim.F1-J69-pH8.bam","adapter_trim.F1-J70-pH8.bam"
0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0
0,0.5,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.5,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
0,0,0.25,0.25,0.5,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0,0,0,0,0.125,0,0.125,0.125,0,0,0.125,0,0,0,0.125,0,0.125,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
0,0,0.25,0,0.125,0.25,0.5,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0.125,0.125,0,0,0,0.125,0,0,0.125,0.125,0.125,0,0.125,0,0,0.125,0,0,0.125,0.125,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.25,0,0,0,0,0,0.25,0.5,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0
