"V1","V2","V3","V4"
1,0,0,0
2,0,0,1
3,0,0,0
4,0,0,1
5,4,3,0
6,0,0,1
7,6,3,0
8,0,0,2
9,2,8,0
10,0,0,1
11,0,0,2
12,2,11,0
13,1,11,0
14,2,11,0
15,6,11,0
16,0,0,2
17,0,0,0
18,0,0,1
19,0,0,2
20,3,19,0
21,0,0,2
22,2,21,0
23,0,0,2
24,0,0,1
25,24,17,0
26,24,21,0
27,24,16,0
28,0,0,1
29,0,0,0
30,29,16,0
31,18,29,0
32,0,0,0
33,32,23,0
34,10,32,0
35,0,0,2
36,0,0,2
37,6,36,0
38,28,36,0
39,0,0,0
40,2,39,0
41,2,39,0
42,2,39,0
43,39,19,0
44,0,0,2
45,10,44,0
46,18,44,0
47,28,44,2
48,2,23,2
49,18,39,2
50,18,35,1
51,6,17,2
52,24,29,1
53,3,21,2
54,29,36,1
55,29,35,1
56,4,1,1
57,2,36,2
58,18,29,1
59,2,23,1
60,6,17,1
61,18,21,1
62,10,1,2
63,18,17,2
64,17,36,2
65,24,44,2
66,2,23,1
67,10,17,2
68,18,19,2
69,17,23,0
70,18,21,2
71,32,23,2
72,2,29,0
73,32,23,0
74,24,8,0
75,39,16,0
76,24,3,0
77,17,44,0
78,6,17,0
79,29,36,0
80,18,3,0
81,6,1,0
82,39,8,0
83,17,44,0
84,29,16,0
85,6,11,0
86,4,32,0
87,10,16,0
88,10,3,0
89,3,16,0
90,6,8,0
91,39,16,0
92,3,8,0
93,18,32,0
94,17,35,0
95,6,29,0
96,4,21,0
97,2,1,0
98,3,16,0
99,6,32,0
100,24,1,0
101,39,35,0
102,4,35,0
103,28,23,0
104,39,16,0
105,6,16,0
106,10,1,0
107,3,44,0
108,24,23,0
109,32,35,0
110,2,39,0
111,39,19,0
112,18,35,0
113,18,1,0
114,29,23,0
115,4,3,0
116,6,1,0
117,10,32,0
118,17,23,0
119,10,39,0
120,17,23,0
121,39,16,0
122,29,16,0
123,18,44,0
