"","sire","dam","id","LLRdam","LLRsire","loci","n.loci","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs"
"1","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.F1-J14-pH8.bam","-0.25","-0.32","CM084276_1_2874158.0, CM084264_1_70175551.1, CM084264_1_75338734.0, CM084267_1_2908130.0, CM084269_1_45238132.1, CM084270_1_42345710.0, CM084268_1_50225470.0, CM084265_1_50947034.0, CM084277_1_30642880.1, CM084266_1_58088040.0, CM084277_1_29781979.0, CM084266_1_25399242.0, CM084271_1_44134413.1, CM084268_1_18512798.1, CM084275_1_25395524.1, CM084265_1_1229890.1, CM084274_1_4727151.0, CM084266_1_70400233.1, CM084271_1_10301897.0, CM084267_1_52092638.1, CM084266_1_68643487.0, CM084275_1_8878509.0, CM084276_1_38117403.1, CM084275_1_319814.0, CM084264_1_34300372.0, CM084265_1_71825876.0, CM084266_1_71166448.1, CM084272_1_18191738.1, CM084274_1_4695205.1, CM084274_1_4869825.0, CM084264_1_69902276.1, CM084276_1_1856653.0, CM084269_1_1526868.1, CM084266_1_46766307.0, CM084267_1_13261500.0, CM084278_1_20736236.1, CM084275_1_39500153.1, CM084278_1_20591128.1, CM084265_1_70975032.1, CM084279_1_30773321.1, CM084269_1_15823106.1, CM084271_1_379032.1, CM084279_1_32640576.1, CM084264_1_34300372.0, CM084275_1_1304747.0, CM084269_1_15828545.1, CM084277_1_30953045.1, CM084266_1_69723117.0, CM084277_1_29208392.0, CM084269_1_4636883.1","50","0.57","2, 3, 5","3, 4, 5","TRUE"
"2","adapter_trim.F0-B1.bam","adapter_trim.F0-B14.bam","adapter_trim.F1-B9-pH8.bam","0","-0.27","CM084271_1_44083010.1, CM084269_1_4625303.0, CM084274_1_4726242.1, CM084268_1_3691704.0, CM084271_1_340905.1, CM084265_1_68868203.0, CM084279_1_10156950.1, CM084265_1_71899241.0, CM084269_1_4636406.1, CM084265_1_72071381.1, CM084269_1_42862779.1, CM084275_1_39776469.0, CM084268_1_22932611.1, CM084264_1_6151084.1, CM084268_1_18519472.1, CM084265_1_1062071.1, CM084265_1_66143640.0, CM084265_1_71827811.0, CM084275_1_524596.1, CM084279_1_1062144.0, CM084264_1_73152528.0, CM084276_1_38558603.1, CM084265_1_72368298.1, CM084265_1_786811.1, CM084276_1_61700.1, CM084266_1_69056442.0, CM084275_1_1304747.0, CM084274_1_4773522.1, CM084279_1_10151169.0, CM084269_1_40438751.0, CM084269_1_1556132.1, CM084279_1_31409239.0, CM084275_1_1304711.0, CM084268_1_3697521.1, CM084265_1_24901859.0, CM084266_1_25399242.0, CM084269_1_15827890.0, CM084264_1_6956700.1, CM084274_1_4864007.0, CM084274_1_4686943.0, CM084278_1_22665042.1, CM084270_1_19461856.0, CM084266_1_57889092.0, CM084264_1_73927178.0, CM084265_1_61648709.0, CM084264_1_74191538.0, CM084272_1_675601.0, CM084269_1_46689548.1, CM084275_1_38169337.0, CM084269_1_1567396.0","50","0.27","2, 3, 4, 5","3, 4, 5","TRUE"
"3","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.154.bam","-0.19","-0.37","CM084264_1_6990362.0, CM084279_1_32666441.0, CM084279_1_31065257.1, CM084266_1_808035.0, CM084266_1_64725837.1, CM084274_1_5120654.0, CM084275_1_39502397.1, CM084264_1_6151084.1, CM084264_1_72118697.1, CM084276_1_38775909.0, CM084277_1_18535852.0, CM084276_1_20157067.1, CM084264_1_64487824.1, CM084268_1_49719742.1, CM084265_1_69916644.0, CM084266_1_58088040.1, CM084268_1_3695238.1, CM084266_1_70181820.1, CM084266_1_57885009.0, CM084265_1_73060810.0, CM084266_1_69141121.1, CM084278_1_32252678.0, CM084275_1_524614.0, CM084266_1_68320536.0, CM084272_1_18192676.0, CM084267_1_5165693.1, CM084265_1_73060898.1, CM084264_1_72011634.1, CM084268_1_9292468.1, CM084270_1_32126102.1, CM084265_1_1816612.0, CM084274_1_4867333.0, CM084266_1_68200825.1, CM084275_1_40706319.0, CM084273_1_268158.0, CM084266_1_63167162.0, CM084268_1_50681646.1, CM084268_1_3699577.0, CM084271_1_44091708.0, CM084266_1_68910397.1, CM084264_1_6956700.0, CM084270_1_4921089.1, CM084269_1_15798363.1, CM084270_1_47077479.1, CM084276_1_25813397.0, CM084265_1_14403559.0, CM084279_1_1063031.1, CM084270_1_4921018.0, CM084268_1_50693763.0, CM084273_1_31864733.1","50","0.56","2, 3, 5","3, 4, 5","TRUE"
"4","adapter_trim.F0-B1.bam","adapter_trim.F0-B26.bam","adapter_trim.F1-J364-pH75.bam","-0.03","-0.32","CM084279_1_32917232.0, CM084266_1_69625511.1, CM084268_1_45604.0, CM084275_1_20000958.1, CM084271_1_43934405.1, CM084264_1_69294926.0, CM084267_1_6420851.0, CM084278_1_22654720.1, CM084266_1_57884345.1, CM084275_1_667604.1, CM084264_1_2738036.1, CM084265_1_68869208.1, CM084265_1_70589360.0, CM084269_1_45238238.1, CM084264_1_71189810.0, CM084266_1_68322194.1, CM084274_1_21938486.0, CM084273_1_31865717.1, CM084264_1_7131437.0, CM084272_1_1894332.1, CM084277_1_36519423.0, CM084269_1_45238132.1, CM084278_1_20591212.1, CM084266_1_70706238.1, CM084269_1_41809360.1, CM084279_1_32666444.0, CM084268_1_50693767.1, CM084264_1_73152605.1, CM084274_1_4863779.0, CM084268_1_50200545.0, CM084278_1_22667320.0, CM084267_1_2646659.1, CM084279_1_649298.0, CM084272_1_18191744.1, CM084271_1_26325707.1, CM084266_1_57882847.0, CM084265_1_1062091.0, CM084276_1_1856082.0, CM084264_1_68688963.1, CM084265_1_71826940.0, CM084268_1_2832740.1, CM084267_1_8687423.1, CM084279_1_33759502.1, CM084266_1_67235326.1, CM084270_1_8242296.0, CM084274_1_4863872.1, CM084265_1_70589365.0, CM084264_1_73309412.1, CM084274_1_42855653.1, CM084265_1_8362532.0","50","0.35","2, 4, 5","3, 4, 5","TRUE"
"5","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.101.bam","-0.28","-0.34","CM084270_1_39396029.1, CM084277_1_30623529.1, CM084279_1_32662843.0, CM084272_1_2073148.1, CM084278_1_277789.0, CM084266_1_68659869.1, CM084265_1_70974986.1, CM084268_1_50225492.1, CM084276_1_1856066.1, CM084269_1_40447978.1, CM084266_1_68659872.1, CM084277_1_30027552.1, CM084267_1_9176202.1, CM084273_1_31862646.1, CM084273_1_31862042.1, CM084269_1_42862707.0, CM084264_1_61167161.0, CM084274_1_4709089.0, CM084266_1_66377772.0, CM084267_1_8118559.0, CM084277_1_4875899.0, CM084268_1_22932623.0, CM084269_1_42862695.0, CM084274_1_4696973.0, CM084274_1_5120654.0, CM084266_1_67912135.1, CM084265_1_58487818.1, CM084274_1_21933138.1, CM084277_1_4876009.0, CM084264_1_34301630.1, CM084271_1_342830.1, CM084270_1_4920935.1, CM084273_1_31866838.1, CM084271_1_26325716.1, CM084268_1_50321964.0, CM084274_1_4792974.1, CM084265_1_19672164.0, CM084268_1_9292474.0, CM084277_1_5803909.0, CM084271_1_44077330.1, CM084264_1_15064138.1, CM084267_1_6418351.1, CM084265_1_1062071.1, CM084266_1_69547380.1, CM084276_1_38558653.1, CM084271_1_37237148.1, CM084269_1_42862775.0, CM084270_1_47076332.1, CM084266_1_70400406.1, CM084265_1_68868203.0","50","0.62","2, 3, 5","3, 4, 5","TRUE"
"6","adapter_trim.F0-B1.bam","adapter_trim.F0-B16.bam","adapter_trim.F1-J111-pH8.bam","-0.26","-0.18","CM084277_1_29782028.1, CM084265_1_64733351.0, CM084266_1_65580309.0, CM084265_1_59221220.1, CM084278_1_23541775.0, CM084273_1_31862787.0, CM084269_1_40336193.0, CM084276_1_1856653.1, CM084275_1_120808.1, CM084274_1_4793084.1, CM084272_1_43480818.0, CM084276_1_38558658.1, CM084265_1_72091635.0, CM084274_1_4694190.1, CM084277_1_30026693.1, CM084271_1_44070260.1, CM084267_1_2653035.1, CM084266_1_69314168.1, CM084278_1_22654720.0, CM084270_1_4920904.0, CM084264_1_6151081.0, CM084264_1_72075482.1, CM084266_1_62460058.0, CM084265_1_39553350.1, CM084266_1_23298342.0, CM084266_1_46766307.0, CM084270_1_4921089.0, CM084264_1_34294472.0, CM084267_1_50993981.1, CM084264_1_71718001.1, CM084266_1_57882581.1, CM084272_1_2073150.1, CM084274_1_4674060.0, CM084272_1_36474231.1, CM084264_1_74191573.0, CM084278_1_16774020.0, CM084269_1_4628639.0, CM084270_1_8242343.1, CM084275_1_529192.1, CM084267_1_699428.0, CM084276_1_38772835.1, CM084269_1_15823421.1, CM084279_1_10147347.1, CM084271_1_30532481.1, CM084275_1_25393709.1, CM084272_1_1596710.0, CM084269_1_4635012.0, CM084269_1_39737144.0, CM084273_1_7826703.1, CM084275_1_35722063.0","50","0.44","2, 3, 4, 5","3, 4, 5","TRUE"
"7","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.F1-J158-pH8.bam","-0.18","-0.74","CM084279_1_1079183.0, CM084276_1_59031.0, CM084271_1_44228071.1, CM084271_1_11500058.1, CM084271_1_37244915.1, CM084264_1_72054055.0, CM084265_1_72898809.0, CM084276_1_1856905.0, CM084276_1_1625272.1, CM084271_1_26325716.1, CM084279_1_1070322.0, CM084265_1_72071409.1, CM084269_1_41819713.0, CM084274_1_4732023.1, CM084274_1_21933035.0, CM084269_1_41819713.0, CM084276_1_2841296.0, CM084271_1_26324168.1, CM084265_1_69381534.1, CM084277_1_30642880.0, CM084276_1_12383618.0, CM084267_1_2104179.0, CM084268_1_42010.0, CM084276_1_38552504.0, CM084269_1_15799430.1, CM084265_1_64969585.0, CM084275_1_667604.1, CM084276_1_25809361.1, CM084271_1_3814146.1, CM084265_1_72898809.1, CM084275_1_267983.1, CM084273_1_31862797.1, CM084265_1_69381619.0, CM084267_1_832141.0, CM084267_1_2652523.1, CM084264_1_72117199.1, CM084275_1_2509950.0, CM084275_1_38169338.1, CM084269_1_15823106.1, CM084272_1_33452045.0, CM084274_1_4734039.1, CM084272_1_1726223.0, CM084276_1_37987466.0, CM084268_1_50693597.1, CM084268_1_50679553.0, CM084272_1_1596710.1, CM084274_1_3691337.0, CM084272_1_33597692.0, CM084268_1_45628.1, CM084266_1_23295283.1","50","0.92","2, 3, 5","3, 4, 5","TRUE"
"8","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.F1-B21-pH75.bam","-0.11","-0.28","CM084276_1_2874158.0, CM084264_1_70175551.1, CM084264_1_75338734.0, CM084267_1_2908130.0, CM084269_1_45238132.1, CM084270_1_42345710.0, CM084268_1_50225470.0, CM084265_1_50947034.0, CM084277_1_30642880.1, CM084266_1_58088040.0, CM084277_1_29781979.0, CM084266_1_25399242.0, CM084271_1_44134413.1, CM084268_1_18512798.1, CM084275_1_25395524.1, CM084265_1_1229890.1, CM084274_1_4727151.0, CM084266_1_70400233.1, CM084271_1_10301897.0, CM084267_1_52092638.1, CM084266_1_68643487.0, CM084275_1_8878509.0, CM084276_1_38117403.1, CM084275_1_319814.0, CM084264_1_34300372.0, CM084265_1_71825876.0, CM084266_1_71166448.1, CM084272_1_18191738.1, CM084274_1_4695205.1, CM084274_1_4869825.0, CM084264_1_69902276.1, CM084276_1_1856653.0, CM084269_1_1526868.1, CM084266_1_46766307.0, CM084267_1_13261500.0, CM084278_1_20736236.1, CM084275_1_39500153.1, CM084278_1_20591128.1, CM084265_1_70975032.1, CM084279_1_30773321.1, CM084269_1_15823106.1, CM084271_1_379032.1, CM084279_1_32640576.1, CM084264_1_34300372.0, CM084275_1_1304747.0, CM084269_1_15828545.1, CM084277_1_30953045.1, CM084266_1_69723117.0, CM084277_1_29208392.0, CM084269_1_4636883.1","50","0.39","2, 3, 5","3, 4, 5","TRUE"
"9","adapter_trim.F0-B1.bam","adapter_trim.F0-B26.bam","adapter_trim.103.bam","-0.66","-0.82","CM084274_1_11619945.0, CM084267_1_2165108.0, CM084273_1_42285577.1, CM084269_1_46692099.1, CM084270_1_42349010.1, CM084265_1_70597838.1, CM084279_1_1073381.1, CM084265_1_64784798.0, CM084277_1_5804275.1, CM084265_1_70979994.0, CM084265_1_69924624.0, CM084278_1_20625578.1, CM084265_1_790976.0, CM084265_1_68798193.1, CM084265_1_14403559.1, CM084274_1_5120580.0, CM084277_1_1868384.1, CM084271_1_257113.1, CM084268_1_49735243.1, CM084266_1_69794604.1, CM084264_1_15064482.1, CM084266_1_57888563.0, CM084271_1_39685141.0, CM084267_1_8118559.1, CM084264_1_26777914.0, CM084274_1_4727166.1, CM084277_1_10628711.1, CM084265_1_64735183.1, CM084265_1_69004214.0, CM084278_1_16767353.1, CM084268_1_50681637.1, CM084274_1_4792243.0, CM084276_1_38117403.0, CM084266_1_69141150.0, CM084268_1_9292468.1, CM084264_1_68685021.0, CM084264_1_75338719.1, CM084271_1_344406.1, CM084264_1_70175545.1, CM084274_1_4694578.0, CM084264_1_69902276.0, CM084274_1_4686930.0, CM084275_1_40519747.1, CM084268_1_50693597.1, CM084266_1_64726670.0, CM084271_1_19655939.1, CM084271_1_44086139.1, CM084272_1_1308695.1, CM084264_1_69294926.0, CM084264_1_70171655.0","50","1.48","2, 4, 5","3, 4, 5","TRUE"
"10","adapter_trim.F0-B1.bam","adapter_trim.F0-B10.bam","adapter_trim.55.bam","-0.82","-0.51","CM084268_1_2706209.1, CM084272_1_1894347.1, CM084274_1_29871125.0, CM084267_1_51248500.0, CM084274_1_3691337.1, CM084274_1_3691349.1, CM084272_1_33452338.0, CM084274_1_5046195.0, CM084265_1_72636291.1, CM084266_1_71166449.0, CM084268_1_28845439.1, CM084275_1_25397320.1, CM084269_1_1567133.0, CM084278_1_20865574.1, CM084271_1_1052214.0, CM084264_1_73926180.1, CM084276_1_25975836.0, CM084266_1_68519869.1, CM084278_1_20867809.1, CM084268_1_3695260.1, CM084265_1_19670958.0, CM084265_1_976180.0, CM084274_1_4694282.1, CM084266_1_70531188.0, CM084275_1_39776486.0, CM084267_1_2908130.0, CM084276_1_38557410.0, CM084267_1_6420851.0, CM084272_1_1894332.0, CM084278_1_20701768.1, CM084264_1_72118711.1, CM084275_1_667604.1, CM084271_1_44104716.1, CM084279_1_32666441.1, CM084270_1_4920968.1, CM084272_1_1894340.1, CM084271_1_3822736.1, CM084274_1_4727318.0, CM084267_1_50994187.0, CM084266_1_57883008.0, CM084267_1_6421475.1, CM084275_1_39776486.0, CM084268_1_50682932.1, CM084270_1_4920904.1, CM084274_1_4796871.1, CM084265_1_71925452.1, CM084266_1_69050667.0, CM084275_1_39502406.0, CM084265_1_68806466.0, CM084275_1_1212337.0","50","1.33","2, 3, 5","3, 4, 5","TRUE"
