"","id","dam","sire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F2-J224-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.83","2","2, 4","TRUE","CM084275_1_19996863.0, CM084264_1_6517724.0, CM084265_1_1062161.0, CM084265_1_59221383.0, CM084267_1_13261464.0, CM084268_1_50225025.0, CM084264_1_34292374.1, CM084264_1_69271980.1, CM084267_1_2081902.0, CM084264_1_70182851.0, CM084272_1_1894337.1, CM084266_1_61737006.1, CM084277_1_30168398.1, CM084274_1_4870202.1, CM084274_1_4818355.1, CM084268_1_50225351.0, CM084269_1_43525214.1, CM084273_1_268153.1, CM084266_1_69632417.1, CM084276_1_38558603.1, CM084266_1_69806378.1, CM084278_1_22654264.1, CM084264_1_66525875.1, CM084267_1_30269806.1, CM084269_1_39737144.1, CM084264_1_74800272.1, CM084279_1_1512885.0, CM084264_1_34294033.1, CM084276_1_25532347.1, CM084273_1_31864741.0, CM084279_1_10151202.0, CM084265_1_71899241.0, CM084270_1_35204451.0, CM084271_1_26325716.0, CM084268_1_37774069.1"
"2","adapter_trim.F2-J187-pH7.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.82","2, 4","2","TRUE","CM084264_1_66522465.1, CM084271_1_19655878.1, CM084265_1_959807.0, CM084265_1_71794141.1, CM084264_1_26771545.0, CM084279_1_31073085.1, CM084265_1_60316158.0, CM084275_1_40706385.1, CM084268_1_28845336.0, CM084266_1_57888563.1, CM084266_1_50301523.0, CM084274_1_4694190.0, CM084264_1_73180493.1, CM084274_1_5028297.0, CM084267_1_51248425.0, CM084266_1_1233079.0, CM084274_1_4769088.0, CM084276_1_1855851.1, CM084276_1_38775924.1, CM084276_1_2855903.1, CM084275_1_8878532.1, CM084276_1_37353162.0, CM084269_1_46688972.0, CM084264_1_73604686.1, CM084266_1_69632417.1, CM084269_1_47265457.0, CM084264_1_72118705.1, CM084269_1_15809861.0, CM084269_1_40338566.0, CM084267_1_52896140.0, CM084269_1_45238247.0, CM084275_1_19996650.1, CM084269_1_4628748.1, CM084268_1_42745.0, CM084268_1_3704024.0"
"3","adapter_trim.F2-B10-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.71","2","2","TRUE","CM084268_1_50739244.0, CM084265_1_71463753.0, CM084269_1_1556935.0, CM084273_1_32698894.0, CM084267_1_2104179.1, CM084278_1_23540722.0, CM084271_1_3814146.0, CM084268_1_298790.0, CM084267_1_50392657.0, CM084276_1_25975836.0, CM084267_1_51241061.1, CM084265_1_66141834.1, CM084266_1_23321836.1, CM084274_1_4796079.1, CM084275_1_25397304.1, CM084265_1_64527973.0, CM084271_1_3821161.1, CM084275_1_2509958.1, CM084267_1_52896264.1, CM084271_1_19655878.1, CM084264_1_48147317.0, CM084274_1_4694190.1, CM084268_1_45604.0, CM084265_1_976180.1, CM084269_1_1538788.0, CM084269_1_1556257.0, CM084265_1_65233017.0, CM084264_1_69902275.1, CM084270_1_39395914.0, CM084276_1_12392697.0, CM084268_1_2720910.0, CM084264_1_34303458.0, CM084266_1_57882573.1, CM084267_1_2908852.0, CM084269_1_4635085.1"
"4","adapter_trim.F2-J221-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.94","2","2","TRUE","CM084278_1_279354.1, CM084275_1_39502374.0, CM084273_1_31863606.0, CM084269_1_15823117.1, CM084265_1_71925452.0, CM084266_1_68910397.1, CM084264_1_74800272.0, CM084265_1_64586069.0, CM084273_1_32683023.1, CM084266_1_58087045.1, CM084269_1_43524168.0, CM084269_1_15823954.1, CM084268_1_50790925.1, CM084277_1_30631457.0, CM084264_1_71189798.1, CM084264_1_73927178.0, CM084265_1_71831409.1, CM084264_1_70182858.0, CM084269_1_43523893.1, CM084272_1_2073150.0, CM084264_1_64874049.0, CM084266_1_65347060.1, CM084270_1_9411945.1, CM084273_1_31862797.0, CM084274_1_4793173.1, CM084266_1_69056442.1, CM084271_1_257149.0, CM084264_1_69303600.1, CM084267_1_5165671.1, CM084266_1_58087797.0, CM084275_1_25388559.1, CM084274_1_42855649.0, CM084275_1_25395464.1, CM084271_1_3821109.0, CM084268_1_2832736.1"
"5","adapter_trim.F2-B12-pH7.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B10-pH8.bam","1.03","2","2","TRUE","CM084268_1_24031324.1, CM084269_1_1567834.1, CM084275_1_25395480.1, CM084266_1_57883097.1, CM084276_1_37352348.0, CM084269_1_42862718.1, CM084275_1_675849.1, CM084269_1_12905587.0, CM084272_1_43469486.0, CM084278_1_19961223.0, CM084277_1_29208392.1, CM084268_1_82245.1, CM084278_1_20591212.0, CM084264_1_69303583.0, CM084279_1_10157010.1, CM084266_1_69051064.0, CM084268_1_45628.1, CM084273_1_10424357.0, CM084271_1_44090307.1, CM084279_1_1073381.0, CM084276_1_1856078.0, CM084276_1_20157075.1, CM084271_1_44075863.0, CM084279_1_10149633.0, CM084279_1_161041.1, CM084277_1_28144351.0, CM084279_1_10159270.1, CM084276_1_1856630.1, CM084271_1_3805850.1, CM084278_1_16774020.0, CM084276_1_37355346.0, CM084266_1_68322200.1, CM084271_1_44066688.0, CM084277_1_36521175.0, CM084265_1_72368299.1"
"6","adapter_trim.F2-J201-pH7.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.87","1, 4","4","TRUE","CM084276_1_38287449.1, CM084268_1_42745.1, CM084276_1_2855915.0, CM084269_1_1558064.1, CM084272_1_18188802.0, CM084265_1_68806450.0, CM084272_1_11675265.1, CM084268_1_3704020.1, CM084275_1_39776646.1, CM084275_1_312849.1, CM084273_1_32698886.1, CM084271_1_1034868.1, CM084271_1_7136506.1, CM084275_1_29098655.1, CM084276_1_62244.0, CM084267_1_30269806.0, CM084275_1_39776469.1, CM084265_1_54591384.1, CM084269_1_1556253.0, CM084268_1_1326519.1, CM084265_1_72071376.0, CM084273_1_11263082.0, CM084278_1_20695466.1, CM084270_1_46587624.1, CM084276_1_25809541.0, CM084273_1_42285577.0, CM084266_1_66383611.0, CM084266_1_69625511.1, CM084278_1_25830477.0, CM084264_1_71189810.1, CM084266_1_68515581.1, CM084268_1_28851946.0, CM084269_1_15823421.1, CM084264_1_74721329.1, CM084275_1_267983.0"
"7","adapter_trim.F2-J203-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B3-pH8.bam","0.86","3","3","TRUE","CM084266_1_69623578.0, CM084279_1_1871842.0, CM084268_1_50679570.1, CM084267_1_11257262.1, CM084266_1_816291.0, CM084277_1_6198938.0, CM084266_1_58087045.1, CM084269_1_1544562.0, CM084266_1_68659587.1, CM084271_1_290137.1, CM084271_1_19655927.1, CM084265_1_59221309.1, CM084269_1_43524676.0, CM084266_1_1230887.0, CM084266_1_808035.0, CM084268_1_50790919.0, CM084275_1_661848.0, CM084270_1_46587607.1, CM084271_1_44134413.1, CM084271_1_19655226.0, CM084266_1_71317540.0, CM084276_1_38797638.1, CM084276_1_1847190.1, CM084266_1_58102684.0, CM084274_1_4792974.1, CM084269_1_1572991.1, CM084276_1_38117244.0, CM084269_1_43523945.0, CM084267_1_51000174.0, CM084268_1_28845336.1, CM084264_1_2740137.0, CM084265_1_68806425.1, CM084268_1_50202371.1, CM084276_1_38552504.1, CM084272_1_33515302.1"
"8","adapter_trim.F2-J189-pH7.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F1-B4-pH8.bam","0.61","1","1","TRUE","CM084271_1_43849246.0, CM084266_1_23295280.1, CM084275_1_529192.1, CM084266_1_23296704.1, CM084279_1_10149541.0, CM084276_1_1856094.1, CM084278_1_20735956.1, CM084265_1_64586070.0, CM084265_1_64735335.0, CM084267_1_8118540.0, CM084266_1_59364074.0, CM084264_1_70355057.0, CM084266_1_68200825.0, CM084273_1_7839324.1, CM084264_1_2738113.1, CM084273_1_42255116.1, CM084276_1_20157075.1, CM084264_1_69271981.0, CM084267_1_52112064.0, CM084265_1_959807.0, CM084270_1_46589386.0, CM084271_1_7137729.1, CM084268_1_50681648.1, CM084272_1_29972645.0, CM084279_1_32652220.1, CM084274_1_4793160.1, CM084264_1_70175564.1, CM084267_1_3748455.0, CM084274_1_21938486.0, CM084275_1_39776496.0, CM084265_1_68807634.0, CM084264_1_72912659.0, CM084277_1_30953064.0, CM084264_1_69539449.0, CM084266_1_71319410.1"
"9","adapter_trim.F2-J165-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B7-pH8.bam","0.79","3","3, 4","TRUE","CM084270_1_46587632.1, CM084265_1_66143673.1, CM084279_1_32662843.1, CM084267_1_9176202.0, CM084271_1_43860422.0, CM084269_1_1558034.1, CM084278_1_16767343.1, CM084271_1_44073407.1, CM084270_1_8444534.1, CM084266_1_64723817.0, CM084275_1_38995260.1, CM084269_1_4628639.1, CM084274_1_42294261.1, CM084264_1_73926177.0, CM084276_1_61700.1, CM084265_1_71926735.1, CM084265_1_70801089.1, CM084272_1_18194957.1, CM084267_1_50994193.1, CM084272_1_29973150.1, CM084265_1_58487819.1, CM084266_1_57882838.1, CM084277_1_1858860.1, CM084267_1_5165671.1, CM084266_1_68643398.1, CM084265_1_73061223.1, CM084279_1_32640566.0, CM084266_1_69632418.1, CM084268_1_46448.1, CM084266_1_66483880.1, CM084275_1_400320.1, CM084264_1_68688963.0, CM084264_1_74800272.0, CM084274_1_4868380.0, CM084277_1_4875961.1"
"10","adapter_trim.F2-J202-pH7.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B7-pH8.bam","0.45","3","3, 4","TRUE","CM084275_1_40706324.0, CM084276_1_1625423.1, CM084278_1_20734392.1, CM084265_1_1816578.0, CM084275_1_23083657.0, CM084264_1_70471578.1, CM084271_1_26324154.1, CM084271_1_44075852.1, CM084274_1_4730203.1, CM084267_1_52092644.0, CM084276_1_1856902.1, CM084265_1_68806425.0, CM084264_1_70355052.0, CM084269_1_42862716.1, CM084279_1_31068246.0, CM084270_1_32126728.1, CM084277_1_4875753.0, CM084273_1_32698886.1, CM084264_1_72011674.1, CM084274_1_4869924.1, CM084266_1_64002578.0, CM084270_1_32126102.0, CM084268_1_3699708.0, CM084264_1_72118711.0, CM084274_1_4694578.1, CM084268_1_24031408.1, CM084266_1_70706207.0, CM084269_1_1567396.1, CM084275_1_38995359.1, CM084268_1_24030546.1, CM084271_1_257176.0, CM084269_1_12903174.1, CM084275_1_675783.1, CM084267_1_2908966.1, CM084271_1_37244915.0"
