"","sire","dam","id","loci","n.loci","LLRdam","LLRsire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs"
"1","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-J205-pH7.bam","CM084276_1_38489687.1, CM084274_1_4863872.0, CM084271_1_44083010.1, CM084274_1_12659015.1, CM084275_1_25388559.1, CM084269_1_4635012.1, CM084267_1_9175848.0, CM084266_1_57888640.0, CM084270_1_4921025.0, CM084264_1_69903182.1, CM084271_1_379009.0, CM084272_1_1891434.1, CM084266_1_816291.1, CM084267_1_2652523.0, CM084266_1_25399242.0, CM084272_1_33623932.0, CM084265_1_71794015.1, CM084264_1_69682047.1, CM084266_1_69315495.1, CM084276_1_20157216.0, CM084279_1_32915293.1, CM084275_1_39781005.1, CM084264_1_34294033.1, CM084269_1_45238132.0, CM084276_1_61679.0, CM084264_1_70173613.1, CM084276_1_62473.1, CM084270_1_1553326.1, CM084274_1_4695205.1, CM084278_1_23555170.1, CM084274_1_34977105.0, CM084265_1_68869491.1, CM084270_1_46587624.0, CM084270_1_4921031.1, CM084273_1_42294202.1","35","-0.47","-0.61","1.08","1, 4","2, 4","TRUE"
"2","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-J225-pH7.bam","CM084265_1_70595159.0, CM084271_1_43934352.1, CM084276_1_20157216.0, CM084266_1_68515581.1, CM084275_1_400320.1, CM084268_1_276380.1, CM084266_1_58087784.0, CM084274_1_4708733.0, CM084264_1_68688357.1, CM084266_1_68642404.1, CM084267_1_6421243.1, CM084268_1_3691710.0, CM084271_1_3807705.0, CM084272_1_2073141.1, CM084264_1_73311149.0, CM084271_1_43817237.0, CM084274_1_4798805.0, CM084269_1_47255823.1, CM084274_1_3692513.1, CM084266_1_66483855.1, CM084269_1_43524104.0, CM084266_1_69806294.1, CM084265_1_46089443.1, CM084266_1_67097920.0, CM084276_1_38970477.1, CM084265_1_70801089.0, CM084274_1_4715467.0, CM084275_1_1303251.0, CM084265_1_72926026.1, CM084274_1_4862014.0, CM084278_1_8558566.0, CM084265_1_72071376.0, CM084266_1_69314162.1, CM084270_1_42355508.0, CM084264_1_70174663.1","35","-0.28","-0.29","0.57","3","2, 4","FALSE"
"3","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J221-pH7.bam","CM084264_1_66522465.1, CM084271_1_19655878.1, CM084265_1_959807.0, CM084265_1_71794141.1, CM084264_1_26771545.0, CM084279_1_31073085.1, CM084265_1_60316158.0, CM084275_1_40706385.1, CM084268_1_28845336.0, CM084266_1_57888563.1, CM084266_1_50301523.0, CM084274_1_4694190.0, CM084264_1_73180493.1, CM084274_1_5028297.0, CM084267_1_51248425.0, CM084266_1_1233079.0, CM084274_1_4769088.0, CM084276_1_1855851.1, CM084276_1_38775924.1, CM084276_1_2855903.1, CM084275_1_8878532.1, CM084276_1_37353162.0, CM084269_1_46688972.0, CM084264_1_73604686.1, CM084266_1_69632417.1, CM084269_1_47265457.0, CM084264_1_72118705.1, CM084269_1_15809861.0, CM084269_1_40338566.0, CM084267_1_52896140.0, CM084269_1_45238247.0, CM084275_1_19996650.1, CM084269_1_4628748.1, CM084268_1_42745.0, CM084268_1_3704024.0","35","0.06","-0.11","0.17","2","2, 4","TRUE"
"4","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F2-J205-pH7.bam","CM084265_1_59221383.1, CM084265_1_71925442.0, CM084271_1_44070252.0, CM084271_1_11500090.0, CM084272_1_33606995.1, CM084264_1_6151084.1, CM084279_1_10159270.1, CM084276_1_2855799.0, CM084270_1_42355508.0, CM084272_1_33616442.0, CM084266_1_69723117.1, CM084275_1_327936.0, CM084268_1_3695260.1, CM084267_1_11257252.1, CM084274_1_42859658.0, CM084266_1_70706235.1, CM084275_1_38169321.1, CM084266_1_69545761.1, CM084268_1_46422.0, CM084269_1_15799403.0, CM084277_1_6198970.0, CM084271_1_1033792.0, CM084269_1_46688892.0, CM084268_1_49735243.0, CM084264_1_70466147.0, CM084276_1_38775920.0, CM084265_1_959807.1, CM084265_1_70577871.0, CM084276_1_37353154.1, CM084271_1_44104315.1, CM084265_1_54595174.1, CM084264_1_73311149.0, CM084275_1_312851.1, CM084267_1_2908962.0, CM084274_1_4694239.0","35","-0.12","-0.1","0.22","3","2, 4","FALSE"
"5","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B19-pH7.bam","CM084275_1_35717364.0, CM084273_1_7839386.0, CM084269_1_40447978.0, CM084278_1_20625154.0, CM084264_1_72929492.1, CM084269_1_47255823.0, CM084264_1_64489814.0, CM084267_1_9176202.1, CM084276_1_38552504.1, CM084278_1_15228737.0, CM084267_1_2908860.1, CM084275_1_1304702.0, CM084269_1_47255758.1, CM084272_1_1144109.1, CM084276_1_37144250.1, CM084279_1_1882771.0, CM084268_1_3699577.0, CM084264_1_70355052.1, CM084274_1_5046215.0, CM084272_1_18170761.0, CM084279_1_1196441.0, CM084270_1_46587591.1, CM084267_1_2163720.0, CM084271_1_44090302.0, CM084264_1_7131437.0, CM084271_1_7136506.1, CM084269_1_15798267.1, CM084279_1_32640625.0, CM084271_1_26324154.0, CM084267_1_11257260.0, CM084276_1_38287449.0, CM084269_1_43523897.0, CM084275_1_312851.1, CM084278_1_22667296.0, CM084266_1_23321801.0","35","-0.13","-0.58","0.71","1","2, 4","FALSE"
"6","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B8-pH8.bam","adapter_trim.F2-B18-pH7.bam","CM084274_1_41835817.1, CM084269_1_12905592.0, CM084265_1_959807.0, CM084264_1_74273479.1, CM084278_1_279479.1, CM084266_1_71166433.0, CM084264_1_74721329.1, CM084272_1_18188620.1, CM084275_1_400292.0, CM084266_1_69095441.0, CM084274_1_4812546.0, CM084269_1_4636404.0, CM084264_1_69757037.1, CM084271_1_19656061.1, CM084279_1_161458.0, CM084277_1_30629891.0, CM084276_1_25809361.1, CM084264_1_73927181.0, CM084272_1_18194192.1, CM084265_1_54591404.0, CM084274_1_3692513.1, CM084274_1_4769088.1, CM084278_1_22656620.1, CM084275_1_39491725.0, CM084277_1_18541349.0, CM084276_1_31737936.0, CM084269_1_35642171.0, CM084269_1_15812965.1, CM084277_1_36519491.0, CM084270_1_46587624.1, CM084268_1_23612506.0, CM084277_1_30631457.1, CM084272_1_18189795.0, CM084271_1_19655820.0, CM084277_1_29781979.1","35","0.05","-0.35","0.4","1","2, 4","FALSE"
"7","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-B12-pH7.bam","CM084275_1_35717364.0, CM084273_1_7839386.0, CM084269_1_40447978.0, CM084278_1_20625154.0, CM084264_1_72929492.1, CM084269_1_47255823.0, CM084264_1_64489814.0, CM084267_1_9176202.1, CM084276_1_38552504.1, CM084278_1_15228737.0, CM084267_1_2908860.1, CM084275_1_1304702.0, CM084269_1_47255758.1, CM084272_1_1144109.1, CM084276_1_37144250.1, CM084279_1_1882771.0, CM084268_1_3699577.0, CM084264_1_70355052.1, CM084274_1_5046215.0, CM084272_1_18170761.0, CM084279_1_1196441.0, CM084270_1_46587591.1, CM084267_1_2163720.0, CM084271_1_44090302.0, CM084264_1_7131437.0, CM084271_1_7136506.1, CM084269_1_15798267.1, CM084279_1_32640625.0, CM084271_1_26324154.0, CM084267_1_11257260.0, CM084276_1_38287449.0, CM084269_1_43523897.0, CM084275_1_312851.1, CM084278_1_22667296.0, CM084266_1_23321801.0","35","0.1","-0.36","0.46","1, 4","2, 4","TRUE"
"8","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084266_1_69625503.1, CM084266_1_52832550.1, CM084271_1_340905.1, CM084274_1_4785935.1, CM084271_1_10301938.0, CM084271_1_44073407.0, CM084276_1_38539342.1, CM084269_1_40438751.0, CM084266_1_50301468.1, CM084275_1_40706324.0, CM084271_1_37244915.1, CM084268_1_28855770.1, CM084277_1_30168106.1, CM084268_1_50739238.0, CM084269_1_12903174.1, CM084264_1_2740287.0, CM084274_1_4694551.0, CM084269_1_45310961.0, CM084276_1_38773530.0, CM084266_1_69085644.0, CM084279_1_649336.1, CM084266_1_62460034.1, CM084264_1_72117194.1, CM084276_1_38787722.1, CM084265_1_8362505.1, CM084264_1_61167161.1, CM084264_1_72054047.0, CM084267_1_11257252.0, CM084264_1_74191504.1, CM084266_1_68960407.0, CM084273_1_42287132.1, CM084279_1_1070763.0, CM084274_1_4863779.1, CM084270_1_39395913.1, CM084278_1_32252684.1","35","0.01","-0.12","0.13","1, 4","2, 4","TRUE"
"9","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F2-J224-pH7.bam","CM084275_1_19996863.0, CM084264_1_6517724.0, CM084265_1_1062161.0, CM084265_1_59221383.0, CM084267_1_13261464.0, CM084268_1_50225025.0, CM084264_1_34292374.1, CM084264_1_69271980.1, CM084267_1_2081902.0, CM084264_1_70182851.0, CM084272_1_1894337.1, CM084266_1_61737006.1, CM084277_1_30168398.1, CM084274_1_4870202.1, CM084274_1_4818355.1, CM084268_1_50225351.0, CM084269_1_43525214.1, CM084273_1_268153.1, CM084266_1_69632417.1, CM084276_1_38558603.1, CM084266_1_69806378.1, CM084278_1_22654264.1, CM084264_1_66525875.1, CM084267_1_30269806.1, CM084269_1_39737144.1, CM084264_1_74800272.1, CM084279_1_1512885.0, CM084264_1_34294033.1, CM084276_1_25532347.1, CM084273_1_31864741.0, CM084279_1_10151202.0, CM084265_1_71899241.0, CM084270_1_35204451.0, CM084271_1_26325716.0, CM084268_1_37774069.1","35","-0.14","-0.69","0.83","2","2, 4","TRUE"
"10","adapter_trim.F1-B1-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F2-J201-pH7.bam","CM084275_1_39501427.0, CM084279_1_1064677.0, CM084265_1_59221229.1, CM084275_1_660866.0, CM084266_1_66377769.1, CM084270_1_4920911.1, CM084269_1_45310996.1, CM084275_1_39774878.0, CM084264_1_68688356.1, CM084274_1_4863996.1, CM084266_1_58102684.1, CM084266_1_57884345.1, CM084266_1_69314162.0, CM084265_1_64735335.0, CM084265_1_71925202.1, CM084265_1_58484259.1, CM084279_1_1070763.1, CM084271_1_39686056.1, CM084264_1_72118711.0, CM084267_1_2104179.1, CM084264_1_72075479.1, CM084269_1_15827788.1, CM084264_1_8098035.0, CM084274_1_42859635.1, CM084266_1_57883008.1, CM084269_1_46693817.0, CM084278_1_279479.1, CM084267_1_5168533.0, CM084268_1_2832742.1, CM084271_1_30532519.1, CM084274_1_4869977.1, CM084264_1_8098050.1, CM084266_1_63468218.0, CM084274_1_4694551.0, CM084274_1_4708749.1","35","-0.07","-0.15","0.22","2, 4","2, 4","TRUE"
