"","id","dam","sire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F2-J86-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.72","1, 4","2, 4","TRUE","CM084269_1_15827787.1, CM084276_1_11705154.0, CM084274_1_4869944.0, CM084267_1_2652515.1, CM084266_1_68882944.1, CM084264_1_69875456.0, CM084270_1_42355504.1, CM084272_1_18194129.0, CM084269_1_15798363.1, CM084264_1_69712159.0, CM084271_1_257176.1, CM084274_1_4734039.1, CM084264_1_66439628.1, CM084271_1_340894.1, CM084271_1_3821267.1, CM084264_1_63760.0, CM084268_1_14768218.1, CM084269_1_35627219.0, CM084264_1_2740137.1, CM084264_1_72054205.0, CM084264_1_70174613.1, CM084271_1_1033792.0, CM084265_1_71795197.1, CM084270_1_42348998.0, CM084269_1_15823117.0, CM084279_1_1064677.1, CM084272_1_33452338.0, CM084274_1_4686932.0, CM084276_1_714435.0, CM084264_1_74989681.0, CM084264_1_69870962.0, CM084264_1_73291570.0, CM084276_1_38539465.0, CM084271_1_218835.0, CM084266_1_71166433.0, CM084264_1_69287125.1, CM084264_1_73931084.1, CM084275_1_2509962.0, CM084277_1_29780093.1, CM084266_1_70707518.1"
"2","adapter_trim.F2-J104-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.27","2, 4","2, 4","TRUE","CM084265_1_59221213.0, CM084279_1_32640622.0, CM084269_1_45438470.0, CM084264_1_70174663.0, CM084275_1_29098652.1, CM084266_1_23321829.1, CM084269_1_42862779.1, CM084266_1_69632418.0, CM084268_1_2832740.0, CM084269_1_15812959.0, CM084272_1_18553651.0, CM084275_1_23083662.1, CM084268_1_24030546.1, CM084264_1_12084114.1, CM084274_1_4792243.0, CM084265_1_59221155.1, CM084269_1_15823954.1, CM084264_1_72075479.0, CM084264_1_69271981.1, CM084269_1_1556267.1, CM084267_1_9175849.1, CM084269_1_41823136.0, CM084274_1_4730081.0, CM084278_1_20623588.0, CM084274_1_4869825.1, CM084271_1_344606.1, CM084273_1_32698879.0, CM084277_1_31296163.0, CM084268_1_2706209.0, CM084265_1_68806465.0, CM084270_1_19464591.0, CM084266_1_57888582.1, CM084271_1_1052235.1, CM084278_1_20858397.1, CM084272_1_33616443.1, CM084274_1_4704387.0, CM084276_1_38552504.0, CM084265_1_64585926.0, CM084274_1_4863917.0, CM084275_1_25393416.0"
"3","adapter_trim.F2-J122-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B1-pH8.bam","0.81","2, 4","2, 4","TRUE","CM084268_1_49719731.0, CM084265_1_8361584.1, CM084264_1_73604407.0, CM084265_1_68869208.0, CM084267_1_6421475.0, CM084279_1_32666436.0, CM084275_1_661848.0, CM084267_1_8687423.1, CM084265_1_54595174.0, CM084265_1_68806465.0, CM084267_1_11257252.1, CM084265_1_69381524.1, CM084274_1_4793160.1, CM084267_1_50392657.0, CM084274_1_4729950.1, CM084268_1_298828.0, CM084264_1_70188206.1, CM084271_1_257149.1, CM084278_1_23541775.0, CM084276_1_38960936.0, CM084268_1_50321964.1, CM084264_1_70175562.1, CM084269_1_46858338.0, CM084271_1_19655226.0, CM084272_1_33617974.0, CM084264_1_70175545.0, CM084278_1_22667330.0, CM084268_1_938570.0, CM084274_1_4778496.0, CM084276_1_38558585.0, CM084279_1_1072342.0, CM084267_1_832159.0, CM084272_1_33497675.1, CM084267_1_5168546.1, CM084269_1_35627230.1, CM084268_1_50321875.1, CM084265_1_72178250.0, CM084277_1_30631457.1, CM084271_1_26324168.0, CM084274_1_4863917.1"
"4","adapter_trim.F2-J143-pH8.bam","adapter_trim.F1-B20-pH8.bam","adapter_trim.F1-B10-pH8.bam","0.23","2","2","TRUE","CM084268_1_9292527.0, CM084265_1_68714893.0, CM084271_1_19655939.1, CM084272_1_1704404.0, CM084278_1_20695466.0, CM084268_1_28845789.0, CM084265_1_71826461.0, CM084265_1_790962.1, CM084268_1_3697725.0, CM084275_1_20000990.0, CM084276_1_1856902.0, CM084264_1_72054047.0, CM084277_1_18545014.1, CM084264_1_69539449.1, CM084272_1_1726216.0, CM084269_1_15799430.1, CM084264_1_66439628.0, CM084265_1_71899674.0, CM084266_1_69051090.1, CM084266_1_68910397.1, CM084272_1_18193899.1, CM084264_1_68685021.1, CM084268_1_2713891.0, CM084272_1_1894276.1, CM084265_1_70801089.0, CM084264_1_74035920.0, CM084269_1_46733079.0, CM084272_1_33571767.0, CM084267_1_9176045.1, CM084274_1_4870391.1, CM084278_1_20732784.0, CM084278_1_30230906.0, CM084269_1_42862695.0, CM084279_1_32666444.0, CM084274_1_4862014.1, CM084270_1_47076365.1, CM084276_1_2855158.1, CM084279_1_1070322.1, CM084274_1_4708745.0, CM084277_1_29782028.1"
"5","adapter_trim.F2-J88-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.52","1, 4","4","TRUE","CM084266_1_66483880.0, CM084264_1_75278242.0, CM084266_1_71224927.1, CM084271_1_43849246.0, CM084276_1_38558640.1, CM084269_1_45238238.1, CM084266_1_70743731.0, CM084268_1_41971.0, CM084279_1_992716.0, CM084265_1_58530104.1, CM084275_1_39500153.1, CM084272_1_33497675.1, CM084274_1_4862784.1, CM084274_1_11619945.0, CM084274_1_4694254.1, CM084275_1_672856.0, CM084276_1_1856639.1, CM084269_1_45238132.1, CM084275_1_39781005.1, CM084270_1_19464668.0, CM084278_1_20735956.1, CM084264_1_69287125.1, CM084264_1_34294033.1, CM084274_1_5046215.0, CM084268_1_9292468.1, CM084264_1_72118711.0, CM084275_1_66811.0, CM084266_1_65401967.1, CM084269_1_45238247.1, CM084271_1_44090310.0, CM084269_1_15827890.0, CM084265_1_59221301.0, CM084269_1_42862707.0, CM084264_1_65422.0, CM084275_1_1303251.0, CM084265_1_69915221.1, CM084264_1_66561947.0, CM084269_1_15827787.1, CM084275_1_327919.1, CM084269_1_41823136.1"
"6","adapter_trim.F2-J89-pH8.bam","adapter_trim.F1-B21-pH8.bam","adapter_trim.F1-B11-pH8.bam","0.88","2, 4","4","TRUE","CM084270_1_19464668.1, CM084275_1_25395479.0, CM084274_1_4812118.0, CM084279_1_32673936.1, CM084279_1_32648014.1, CM084264_1_2738113.1, CM084274_1_4867333.0, CM084271_1_43860505.0, CM084276_1_20157067.0, CM084266_1_69089438.1, CM084276_1_25975836.0, CM084275_1_39776636.0, CM084271_1_342830.1, CM084267_1_13231056.0, CM084271_1_43851366.0, CM084269_1_47265482.0, CM084275_1_1218645.1, CM084279_1_28791311.0, CM084279_1_1063045.0, CM084274_1_4861946.1, CM084271_1_43338888.1, CM084272_1_18170755.1, CM084276_1_38557410.1, CM084269_1_15813148.1, CM084275_1_29098655.1, CM084279_1_1196447.1, CM084267_1_6421241.1, CM084266_1_66377784.0, CM084278_1_19961223.0, CM084270_1_9413290.0, CM084264_1_74076720.1, CM084266_1_68882944.1, CM084274_1_4863917.1, CM084265_1_58036225.1, CM084264_1_70390974.0, CM084268_1_3699589.0, CM084265_1_69924624.1, CM084270_1_47076316.0, CM084266_1_58087794.0, CM084277_1_10417524.1"
"7","adapter_trim.F2-B13-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B11-pH8.bam","1.05","1, 4","4","TRUE","CM084272_1_1894340.0, CM084266_1_69793931.1, CM084265_1_71925486.1, CM084269_1_10663251.0, CM084267_1_5165711.0, CM084264_1_69748575.0, CM084268_1_28845513.1, CM084264_1_73926177.0, CM084279_1_161176.1, CM084279_1_10149611.1, CM084278_1_23539431.0, CM084277_1_30168380.0, CM084275_1_328861.0, CM084267_1_2426156.1, CM084271_1_43868149.0, CM084266_1_61737001.0, CM084279_1_1064862.0, CM084271_1_44077341.1, CM084267_1_8687374.0, CM084266_1_70400406.0, CM084277_1_36521175.0, CM084264_1_6517652.1, CM084278_1_22665064.0, CM084278_1_16773822.0, CM084267_1_8687423.0, CM084269_1_15809963.1, CM084265_1_72636296.1, CM084275_1_25395524.1, CM084270_1_46587607.0, CM084271_1_43817237.0, CM084264_1_34294660.1, CM084278_1_15228737.1, CM084274_1_4861946.0, CM084278_1_20865574.0, CM084275_1_39501427.0, CM084275_1_25397320.0, CM084271_1_346606.0, CM084279_1_32652116.1, CM084276_1_38785557.0, CM084269_1_15809862.0"
"8","adapter_trim.F2-J145-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B3-pH8.bam","0.85","3","3","TRUE","CM084269_1_43525189.1, CM084268_1_82411.1, CM084272_1_29972645.1, CM084268_1_28845823.1, CM084267_1_728194.0, CM084264_1_34303458.0, CM084277_1_29780093.0, CM084264_1_12084114.0, CM084266_1_66383710.1, CM084277_1_5803906.0, CM084266_1_64723748.0, CM084277_1_28144351.0, CM084272_1_11675288.1, CM084265_1_71899687.1, CM084268_1_282153.0, CM084264_1_69712159.1, CM084264_1_26777912.1, CM084270_1_4751834.1, CM084279_1_10147284.1, CM084266_1_25399242.0, CM084274_1_4795077.1, CM084265_1_65322091.0, CM084268_1_3691160.0, CM084264_1_74076720.1, CM084266_1_66377784.0, CM084273_1_31865208.1, CM084270_1_46587624.0, CM084264_1_72011634.1, CM084265_1_69915221.0, CM084267_1_9176045.0, CM084273_1_31862314.0, CM084266_1_69547380.1, CM084264_1_66439654.1, CM084274_1_4795482.0, CM084266_1_64164380.0, CM084275_1_29098652.0, CM084265_1_54591404.1, CM084272_1_18194192.0, CM084267_1_2104179.0, CM084268_1_1326515.1"
"9","adapter_trim.F2-B23-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B3-pH8.bam","0.23","3","3","TRUE","CM084270_1_47103324.1, CM084278_1_22654264.0, CM084273_1_31863671.0, CM084276_1_12399731.1, CM084269_1_15823100.1, CM084279_1_160989.1, CM084269_1_42862707.1, CM084272_1_18188792.0, CM084273_1_7839386.1, CM084274_1_4694578.1, CM084266_1_70686279.1, CM084271_1_30532473.1, CM084279_1_23112955.1, CM084268_1_3692649.0, CM084266_1_66483855.0, CM084273_1_33585263.1, CM084268_1_28851946.1, CM084276_1_38788200.1, CM084271_1_44086152.1, CM084274_1_4869897.0, CM084279_1_32666441.1, CM084267_1_13229742.0, CM084274_1_4788084.0, CM084278_1_279354.1, CM084277_1_29208310.1, CM084270_1_46588177.1, CM084269_1_39736991.0, CM084268_1_3699589.0, CM084278_1_20734518.1, CM084266_1_68322200.1, CM084268_1_50216537.0, CM084265_1_64832885.0, CM084273_1_32683002.0, CM084268_1_22932623.1, CM084270_1_1553326.0, CM084278_1_20701460.0, CM084268_1_1326519.0, CM084265_1_72637027.1, CM084269_1_43524558.1, CM084265_1_3130640.1"
"10","adapter_trim.F2-B3-pH8.bam","adapter_trim.F1-B25-pH8.bam","adapter_trim.F1-B3-pH8.bam","0.73","3","3","TRUE","CM084265_1_14403550.1, CM084264_1_65945.0, CM084266_1_71166412.1, CM084274_1_4700811.0, CM084273_1_32698894.0, CM084269_1_35627080.1, CM084272_1_18194957.1, CM084275_1_2509958.0, CM084266_1_68882944.1, CM084264_1_69870962.1, CM084274_1_4674060.0, CM084265_1_1816569.0, CM084269_1_35627100.0, CM084265_1_72091635.1, CM084265_1_71925470.0, CM084266_1_67097921.1, CM084267_1_51167096.1, CM084264_1_70174668.1, CM084269_1_43525440.0, CM084275_1_524647.0, CM084269_1_15809861.0, CM084277_1_30953033.0, CM084274_1_42906650.0, CM084276_1_1510348.1, CM084274_1_4787926.1, CM084274_1_4769100.1, CM084265_1_66688742.1, CM084266_1_70396060.0, CM084279_1_10159275.0, CM084267_1_2081904.0, CM084265_1_58036330.0, CM084268_1_3691150.0, CM084272_1_36474160.0, CM084271_1_379009.0, CM084274_1_42293378.1, CM084276_1_38772790.0, CM084279_1_161176.0, CM084264_1_70466152.0, CM084264_1_70174663.1, CM084271_1_44066688.1"
"11","adapter_trim.F2-J105-pH8.bam","adapter_trim.F1-B15-pH8.bam","adapter_trim.F1-B4-pH8.bam","0.18","1, 4","1","TRUE","CM084266_1_57888640.1, CM084274_1_4795112.0, CM084274_1_4808183.1, CM084275_1_319819.0, CM084272_1_33607296.1, CM084268_1_46382.1, CM084273_1_214007.1, CM084264_1_61167131.1, CM084278_1_20742383.1, CM084269_1_41809353.0, CM084274_1_4793177.1, CM084265_1_71794141.1, CM084275_1_39502374.0, CM084265_1_61648709.0, CM084272_1_1891434.0, CM084271_1_3820313.0, CM084272_1_18191738.1, CM084278_1_22665046.1, CM084279_1_32917233.1, CM084272_1_36474233.0, CM084278_1_20635947.1, CM084264_1_74191538.1, CM084276_1_1852880.0, CM084266_1_68643398.1, CM084264_1_68634815.1, CM084266_1_67098131.1, CM084278_1_279490.1, CM084267_1_51241061.1, CM084269_1_1558064.1, CM084272_1_33452045.1, CM084276_1_1625254.0, CM084275_1_42592955.1, CM084279_1_32673936.1, CM084279_1_1070298.0, CM084272_1_18191744.1, CM084272_1_36474242.1, CM084267_1_6420929.1, CM084270_1_42355534.1, CM084272_1_2073150.1, CM084268_1_18512751.1"
