"","id","dam","sire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs","loci"
"1","adapter_trim.F2-J63-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.38,"1","1, 4",TRUE,"CM084268_1_22040364.1, CM084274_1_4795049.1, CM084268_1_49533758.0, CM084273_1_31865230.1, CM084272_1_18194192.1, CM084265_1_72991915.1, CM084269_1_43524558.0, CM084271_1_1052216.1, CM084264_1_64269859.1, CM084275_1_25395480.1, CM084278_1_20865574.0, CM084265_1_61648596.1, CM084272_1_1726223.1, CM084266_1_64164380.0, CM084264_1_26773649.1, CM084274_1_4708733.1, CM084278_1_23540722.1, CM084275_1_120888.0, CM084265_1_64527973.0, CM084275_1_35722638.1, CM084271_1_43851333.1, CM084267_1_6421241.0, CM084265_1_72368172.1, CM084276_1_1856630.0, CM084264_1_65424.0, CM084279_1_32640622.1, CM084270_1_8244653.1, CM084264_1_73309406.1, CM084274_1_4818355.1, CM084276_1_20157075.1, CM084272_1_2072734.0, CM084276_1_4238165.1, CM084279_1_1070264.0, CM084266_1_68882944.0, CM084276_1_31737936.1"
"2","adapter_trim.F2-B2-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.01,"2, 4","1, 4",TRUE,"CM084277_1_30631454.1, CM084265_1_69230172.1, CM084276_1_1852880.0, CM084271_1_1052214.0, CM084274_1_4778496.1, CM084269_1_1556253.1, CM084279_1_32640625.1, CM084271_1_274033.0, CM084277_1_5804354.0, CM084276_1_1856066.1, CM084270_1_19461856.0, CM084266_1_64723748.0, CM084279_1_32640564.1, CM084270_1_4751873.1, CM084265_1_71899241.1, CM084274_1_4795058.1, CM084265_1_24898734.1, CM084274_1_4787926.1, CM084271_1_43816629.0, CM084269_1_15798323.1, CM084275_1_667604.0, CM084272_1_18194972.0, CM084270_1_4921025.0, CM084269_1_15799403.0, CM084271_1_43851333.1, CM084275_1_312851.0, CM084269_1_1572991.1, CM084269_1_46688879.1, CM084272_1_18194957.1, CM084273_1_31862649.0, CM084275_1_529178.0, CM084277_1_31222635.1, CM084279_1_161458.1, CM084267_1_52112064.0, CM084268_1_42024.0"
"3","adapter_trim.F2-B22-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.76,"1","1, 4",TRUE,"CM084267_1_13229742.1, CM084276_1_25809512.0, CM084271_1_44104716.0, CM084266_1_23295925.0, CM084279_1_32973101.0, CM084277_1_5803909.1, CM084264_1_73152605.1, CM084267_1_6421422.1, CM084271_1_37237148.1, CM084266_1_58087797.0, CM084268_1_24031324.1, CM084274_1_4788638.0, CM084275_1_120896.0, CM084265_1_70798989.0, CM084267_1_5881751.0, CM084266_1_59364074.1, CM084265_1_70800987.0, CM084268_1_49721957.0, CM084269_1_45438488.1, CM084274_1_4700811.1, CM084274_1_4863343.1, CM084278_1_20735956.0, CM084265_1_70800987.1, CM084270_1_10495951.0, CM084266_1_58087045.1, CM084275_1_660866.0, CM084279_1_32666410.1, CM084265_1_61648596.0, CM084267_1_6421241.0, CM084274_1_5566177.1, CM084275_1_272975.0, CM084264_1_34301630.0, CM084267_1_832165.1, CM084265_1_68868202.1, CM084272_1_23578669.0"
"4","adapter_trim.F2-J13-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.64,"2, 4","1, 4",TRUE,"CM084277_1_4875961.0, CM084271_1_1033797.1, CM084276_1_38285682.1, CM084277_1_30611561.0, CM084265_1_72637027.1, CM084279_1_32644251.0, CM084264_1_72118705.0, CM084266_1_69632434.1, CM084266_1_57882606.1, CM084279_1_32650016.1, CM084274_1_34977131.0, CM084268_1_50679551.0, CM084264_1_15073840.1, CM084277_1_1868384.0, CM084266_1_68910397.1, CM084266_1_64725838.0, CM084266_1_58087892.0, CM084274_1_5120623.0, CM084264_1_68688975.1, CM084267_1_2163704.0, CM084277_1_30631454.0, CM084266_1_57886490.1, CM084276_1_25809541.1, CM084269_1_1544433.1, CM084276_1_1625254.0, CM084269_1_43524676.0, CM084269_1_45423014.1, CM084265_1_59221308.0, CM084271_1_3816215.0, CM084265_1_71794015.0, CM084271_1_26325720.0, CM084272_1_1596807.0, CM084267_1_2653032.1, CM084268_1_276461.1, CM084272_1_33607296.0"
"5","adapter_trim.F2-J48-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.35,"1","1, 4",TRUE,"CM084269_1_1567848.0, CM084276_1_38864870.1, CM084264_1_6990362.0, CM084265_1_68243992.0, CM084275_1_524614.0, CM084270_1_47077595.1, CM084278_1_30230906.0, CM084274_1_5028297.0, CM084265_1_70801089.0, CM084267_1_9176045.0, CM084268_1_3703420.1, CM084264_1_73931171.1, CM084275_1_40706385.0, CM084270_1_4751817.1, CM084271_1_43851366.0, CM084264_1_70191778.1, CM084265_1_72926026.0, CM084277_1_30611507.0, CM084271_1_3814146.1, CM084274_1_4708745.0, CM084264_1_34294652.1, CM084269_1_1555101.1, CM084269_1_15812965.0, CM084276_1_37987483.1, CM084265_1_70595162.1, CM084279_1_31075821.1, CM084264_1_68689030.0, CM084268_1_50200519.0, CM084265_1_69007603.1, CM084277_1_5803906.1, CM084274_1_4863996.1, CM084272_1_1308683.0, CM084276_1_60278.1, CM084265_1_794840.1, CM084264_1_70190075.1"
"6","adapter_trim.F2-J8-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B1-pH75.bam",1,"2, 4","1, 4",TRUE,"CM084269_1_40337595.1, CM084274_1_4726638.0, CM084264_1_70188213.0, CM084264_1_8233152.0, CM084274_1_4796884.0, CM084264_1_73604722.0, CM084277_1_30168106.0, CM084264_1_73291570.1, CM084266_1_68320526.0, CM084267_1_700114.0, CM084268_1_3691693.1, CM084264_1_6990362.0, CM084279_1_10147315.1, CM084268_1_50321875.0, CM084268_1_82245.0, CM084272_1_33623932.1, CM084269_1_45310961.0, CM084271_1_344606.0, CM084278_1_28652016.0, CM084266_1_68919241.0, CM084271_1_44069731.0, CM084268_1_1326643.0, CM084277_1_30505565.0, CM084270_1_9408158.1, CM084264_1_34300493.1, CM084275_1_25395524.1, CM084278_1_20734513.1, CM084265_1_68714893.1, CM084265_1_71899680.1, CM084279_1_1882771.0, CM084277_1_30631457.0, CM084266_1_58087784.1, CM084265_1_69007607.1, CM084279_1_32665186.1, CM084279_1_161440.0"
"7","adapter_trim.F2-B1-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F1-B1-pH75.bam",1.16,"2, 4","1, 4",TRUE,"CM084271_1_44075853.0, CM084277_1_30168106.1, CM084265_1_71265241.0, CM084264_1_69287134.0, CM084269_1_45423014.0, CM084264_1_70182852.1, CM084270_1_19464591.1, CM084265_1_72990731.1, CM084264_1_64874708.1, CM084279_1_31068246.1, CM084265_1_14403559.0, CM084275_1_524596.0, CM084267_1_51248500.0, CM084265_1_64735174.1, CM084279_1_31409239.1, CM084277_1_29780116.1, CM084274_1_4863936.0, CM084265_1_1118701.0, CM084276_1_1856902.0, CM084279_1_32917232.1, CM084277_1_31027262.0, CM084264_1_72075482.1, CM084278_1_22667296.0, CM084269_1_47265300.0, CM084272_1_33616443.1, CM084265_1_70595159.0, CM084274_1_4795052.0, CM084277_1_29208393.1, CM084264_1_72912659.1, CM084274_1_3691337.0, CM084276_1_1856905.0, CM084275_1_39394589.0, CM084266_1_57841523.1, CM084268_1_2832736.0, CM084264_1_69870956.0"
"8","adapter_trim.F2-J70-pH75.bam","adapter_trim.F1-B17-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.19,"1","1, 4",TRUE,"CM084277_1_4875753.0, CM084273_1_7839386.1, CM084274_1_4793445.0, CM084265_1_72636296.0, CM084264_1_66561935.1, CM084276_1_20156972.0, CM084268_1_42089.1, CM084265_1_66143662.1, CM084265_1_1062071.0, CM084269_1_40338566.0, CM084270_1_9408154.0, CM084277_1_1856957.0, CM084269_1_15813150.0, CM084269_1_15812959.0, CM084271_1_44104315.1, CM084279_1_16586112.1, CM084266_1_1230901.1, CM084279_1_161074.1, CM084269_1_43525116.0, CM084274_1_4863343.1, CM084269_1_15799403.1, CM084278_1_20625152.0, CM084274_1_4795077.1, CM084271_1_3814148.1, CM084265_1_8362532.1, CM084272_1_1144109.1, CM084268_1_24030546.0, CM084269_1_15823100.1, CM084264_1_75278300.1, CM084266_1_64726664.0, CM084274_1_4694855.1, CM084276_1_1855843.0, CM084267_1_2135737.0, CM084276_1_1856070.0, CM084264_1_34301159.1"
"9","adapter_trim.F2-J31-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.97,"1","1, 4",TRUE,"CM084275_1_39500153.1, CM084271_1_1034868.0, CM084265_1_61648709.1, CM084267_1_9176045.1, CM084269_1_15798323.0, CM084268_1_2713891.1, CM084275_1_29098877.1, CM084270_1_42355534.1, CM084276_1_25807604.0, CM084269_1_43529904.0, CM084269_1_15813150.1, CM084265_1_73061282.1, CM084264_1_8112731.0, CM084275_1_327919.1, CM084271_1_44075852.0, CM084273_1_37927756.0, CM084269_1_4625303.1, CM084265_1_58036330.1, CM084264_1_69863993.0, CM084271_1_1052216.0, CM084275_1_20000958.1, CM084268_1_37774069.1, CM084269_1_15798267.1, CM084275_1_1304702.0, CM084276_1_38775936.1, CM084268_1_3261991.1, CM084275_1_400262.0, CM084274_1_4694855.1, CM084271_1_43849246.1, CM084271_1_257149.0, CM084267_1_5881751.0, CM084265_1_71827765.0, CM084277_1_29782029.1, CM084274_1_11694583.0, CM084268_1_49721842.0"
"10","adapter_trim.F2-J68-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F1-B1-pH75.bam",0.9,"1, 4","1, 4",TRUE,"CM084274_1_4792974.0, CM084264_1_69902275.1, CM084272_1_1704379.0, CM084264_1_6517724.0, CM084267_1_5165671.0, CM084274_1_7310951.1, CM084264_1_26771521.1, CM084279_1_32652220.1, CM084266_1_71166448.1, CM084266_1_58087794.0, CM084266_1_68319477.0, CM084268_1_50323439.1, CM084273_1_31862649.1, CM084278_1_23542073.0, CM084265_1_69924480.1, CM084275_1_25395524.0, CM084270_1_46587616.0, CM084266_1_50301523.0, CM084264_1_6517635.0, CM084264_1_74191574.1, CM084269_1_1572335.0, CM084268_1_50202339.0, CM084271_1_274033.0, CM084277_1_5804570.1, CM084277_1_31296172.1, CM084267_1_51167057.1, CM084272_1_33597692.1, CM084279_1_33759502.0, CM084273_1_31862197.0, CM084271_1_1052214.1, CM084275_1_660866.1, CM084267_1_8118559.0, CM084267_1_13261500.0, CM084274_1_4796871.0, CM084274_1_4793177.1"
