"","sire","dam","id","loci","n.loci","LLRdam","LLRsire","absLLRtotal","dam.batch","sire.batch","Fertilization_pairs"
"1","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F2-J63-pH75.bam","CM084279_1_10151169.1, CM084276_1_4125650.1, CM084265_1_72071366.1, CM084273_1_42287132.0, CM084269_1_4628634.1, CM084278_1_20858390.0, CM084276_1_38072633.0, CM084264_1_75512070.0, CM084264_1_34291216.0, CM084271_1_26325742.0, CM084265_1_64735166.0, CM084279_1_1073112.0, CM084265_1_70979988.1, CM084269_1_1538788.0, CM084279_1_1871842.1, CM084272_1_18194019.0, CM084279_1_1070264.1, CM084266_1_58093839.0, CM084276_1_38970477.1, CM084265_1_72992174.1, CM084265_1_70979994.1, CM084264_1_74989689.1, CM084265_1_73060616.0, CM084277_1_30168102.0, CM084264_1_26773675.0, CM084266_1_38532344.1, CM084278_1_281214.1, CM084264_1_2737868.0, CM084273_1_4090291.0, CM084265_1_71792056.1","30","-0.13","-0.42","0.55","2, 4","1, 4","TRUE"
"2","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F2-B25-pH75.bam","CM084275_1_2509498.1, CM084279_1_161074.1, CM084276_1_54402.0, CM084274_1_4863301.1, CM084266_1_70743740.0, CM084276_1_12392697.1, CM084264_1_70175562.0, CM084274_1_4773492.0, CM084266_1_69315458.0, CM084266_1_57882847.0, CM084271_1_43934405.0, CM084265_1_60313980.1, CM084271_1_19655912.1, CM084269_1_47265300.0, CM084264_1_70456944.1, CM084278_1_32252661.1, CM084270_1_9401006.0, CM084278_1_4074395.0, CM084270_1_47076316.0, CM084266_1_64164374.0, CM084268_1_3703420.0, CM084264_1_73311149.1, CM084264_1_66522465.0, CM084271_1_43816629.1, CM084274_1_4720394.0, CM084274_1_4793160.1, CM084269_1_12905562.1, CM084279_1_32662843.0, CM084276_1_38558585.1, CM084278_1_22645215.1","30","-0.06","-0.45","0.51","1","1, 4","TRUE"
"3","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F2-J24-pH75.bam","CM084264_1_66439628.0, CM084274_1_4868380.1, CM084271_1_274110.0, CM084273_1_32683002.0, CM084265_1_66688742.1, CM084266_1_57886823.1, CM084269_1_12905562.0, CM084275_1_675849.0, CM084266_1_70181797.1, CM084268_1_42010.0, CM084269_1_43525214.1, CM084278_1_20625578.0, CM084279_1_10156951.0, CM084266_1_57882606.0, CM084266_1_63466127.1, CM084265_1_64735440.0, CM084270_1_47077465.1, CM084265_1_69381551.1, CM084277_1_36519423.1, CM084267_1_48167440.0, CM084271_1_3818665.1, CM084275_1_1304748.0, CM084276_1_1625257.1, CM084265_1_64196870.0, CM084266_1_69141161.0, CM084264_1_34300493.1, CM084271_1_289999.1, CM084268_1_2832731.0, CM084272_1_36474231.0, CM084278_1_22664889.1","30","-0.36","-0.24","0.6","3","1, 4","FALSE"
"4","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F2-J29-pH75.bam","CM084279_1_33014997.1, CM084271_1_1034868.0, CM084267_1_2908957.0, CM084276_1_4855640.0, CM084276_1_37353147.0, CM084273_1_31862179.0, CM084266_1_66485296.0, CM084268_1_22040366.0, CM084264_1_39013.1, CM084272_1_1894340.1, CM084277_1_30026693.1, CM084276_1_25975836.1, CM084267_1_5952857.0, CM084266_1_71166433.1, CM084279_1_1079183.0, CM084276_1_38489687.1, CM084265_1_71853183.0, CM084274_1_4778747.0, CM084270_1_47077463.1, CM084265_1_3130640.0, CM084264_1_72054047.1, CM084265_1_59221213.0, CM084279_1_32666436.1, CM084272_1_18194972.0, CM084277_1_30611605.1, CM084279_1_10156950.1, CM084279_1_10156946.1, CM084266_1_52832550.1, CM084267_1_50994309.0, CM084266_1_69623578.1","30","-0.13","-0.44","0.57","1","1, 4","TRUE"
"5","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F2-J29-pH75.bam","CM084279_1_1062135.0, CM084278_1_16767353.1, CM084276_1_1856654.0, CM084267_1_52591576.1, CM084267_1_13229742.1, CM084277_1_36522229.1, CM084271_1_43860422.0, CM084271_1_290001.0, CM084275_1_23083662.0, CM084272_1_1891434.1, CM084278_1_20701768.1, CM084269_1_1567396.1, CM084276_1_11709760.1, CM084271_1_43860505.0, CM084265_1_70595162.0, CM084274_1_4788669.1, CM084275_1_77171.1, CM084265_1_65268038.0, CM084265_1_71926735.0, CM084268_1_50790925.1, CM084270_1_11478201.1, CM084265_1_68869496.0, CM084279_1_10149611.0, CM084266_1_62460034.1, CM084274_1_4726638.1, CM084271_1_218835.1, CM084267_1_9175515.1, CM084266_1_23321836.0, CM084269_1_45438470.1, CM084265_1_71265328.0","30","-0.36","-0.19","0.55","2","1, 4","FALSE"
"6","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B16-pH75.bam","adapter_trim.F2-B21-pH75.bam","CM084278_1_22644846.1, CM084278_1_5144630.1, CM084264_1_72054205.1, CM084265_1_70589360.1, CM084264_1_74191574.1, CM084272_1_43480818.1, CM084266_1_68320526.0, CM084264_1_68688356.1, CM084268_1_50202371.1, CM084274_1_4792256.0, CM084266_1_69806293.0, CM084270_1_8242343.0, CM084265_1_72071381.0, CM084264_1_69275359.1, CM084271_1_3816215.0, CM084276_1_38773525.1, CM084276_1_38552579.1, CM084268_1_1508049.1, CM084275_1_327918.1, CM084274_1_4727318.1, CM084276_1_37355346.0, CM084269_1_1558052.1, CM084265_1_70799357.0, CM084271_1_289999.1, CM084264_1_68685021.1, CM084278_1_5142968.1, CM084265_1_69004202.1, CM084266_1_62468799.0, CM084279_1_10147216.1, CM084272_1_33578227.1","30","0.07","-0.08","0.15","3","1, 4","FALSE"
"7","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B21-pH75.bam","adapter_trim.F2-B2-pH75.bam","CM084275_1_2509498.1, CM084279_1_161074.1, CM084276_1_54402.0, CM084274_1_4863301.1, CM084266_1_70743740.0, CM084276_1_12392697.1, CM084264_1_70175562.0, CM084274_1_4773492.0, CM084266_1_69315458.0, CM084266_1_57882847.0, CM084271_1_43934405.0, CM084265_1_60313980.1, CM084271_1_19655912.1, CM084269_1_47265300.0, CM084264_1_70456944.1, CM084278_1_32252661.1, CM084270_1_9401006.0, CM084278_1_4074395.0, CM084270_1_47076316.0, CM084266_1_64164374.0, CM084268_1_3703420.0, CM084264_1_73311149.1, CM084264_1_66522465.0, CM084271_1_43816629.1, CM084274_1_4720394.0, CM084274_1_4793160.1, CM084269_1_12905562.1, CM084279_1_32662843.0, CM084276_1_38558585.1, CM084278_1_22645215.1","30","-0.2","-0.54","0.74","1","1, 4","TRUE"
"8","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B6-pH75.bam","adapter_trim.F2-B11-pH75.bam","CM084268_1_28845522.0, CM084264_1_34301153.0, CM084266_1_69085644.1, CM084269_1_1577711.0, CM084279_1_993504.1, CM084270_1_47103324.0, CM084271_1_290001.1, CM084278_1_23542543.1, CM084273_1_42294202.0, CM084272_1_1308683.0, CM084275_1_675849.1, CM084275_1_524614.0, CM084270_1_46589386.0, CM084272_1_33454573.1, CM084265_1_64528148.1, CM084268_1_49533758.0, CM084267_1_51241061.1, CM084273_1_31865846.1, CM084274_1_4795052.1, CM084265_1_60219092.1, CM084272_1_1894340.0, CM084266_1_68919270.1, CM084275_1_400325.0, CM084279_1_161440.1, CM084271_1_44083010.0, CM084276_1_1625257.1, CM084275_1_39502406.1, CM084278_1_5144752.0, CM084274_1_4773486.0, CM084277_1_1856957.1","30","-0.07","-0.2","0.27","1, 4","1, 4","TRUE"
"9","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B12-pH75.bam","adapter_trim.F2-J13-pH75.bam","CM084269_1_43529904.0, CM084279_1_1070313.1, CM084268_1_24030545.1, CM084264_1_70190068.0, CM084266_1_23298342.1, CM084266_1_23321836.1, CM084276_1_38960936.1, CM084266_1_57886153.1, CM084274_1_4861946.1, CM084264_1_72054205.1, CM084264_1_75512070.0, CM084278_1_20591212.1, CM084276_1_4125650.1, CM084274_1_21933150.0, CM084264_1_6956700.0, CM084269_1_46693817.0, CM084270_1_47077465.0, CM084270_1_4921029.0, CM084276_1_37352422.0, CM084267_1_6421475.0, CM084268_1_41971.1, CM084268_1_50681537.1, CM084273_1_31861630.0, CM084277_1_1869733.0, CM084278_1_22667323.0, CM084268_1_42211.0, CM084276_1_2841292.1, CM084271_1_379011.0, CM084264_1_70466179.1, CM084268_1_50693763.0","30","-0.53","-0.79","1.32","2","1, 4","FALSE"
"10","adapter_trim.F1-B1-pH75.bam","adapter_trim.F1-B11-pH75.bam","adapter_trim.F2-J2-pH75.bam","CM084268_1_28845522.0, CM084264_1_34301153.0, CM084266_1_69085644.1, CM084269_1_1577711.0, CM084279_1_993504.1, CM084270_1_47103324.0, CM084271_1_290001.1, CM084278_1_23542543.1, CM084273_1_42294202.0, CM084272_1_1308683.0, CM084275_1_675849.1, CM084275_1_524614.0, CM084270_1_46589386.0, CM084272_1_33454573.1, CM084265_1_64528148.1, CM084268_1_49533758.0, CM084267_1_51241061.1, CM084273_1_31865846.1, CM084274_1_4795052.1, CM084265_1_60219092.1, CM084272_1_1894340.0, CM084266_1_68919270.1, CM084275_1_400325.0, CM084279_1_161440.1, CM084271_1_44083010.0, CM084276_1_1625257.1, CM084275_1_39502406.1, CM084278_1_5144752.0, CM084274_1_4773486.0, CM084277_1_1856957.1","30","0.16","-0.13","0.29","2, 4","1, 4","TRUE"
